region_cd,sido_cd,sgg_cd,umd_cd,ri_cd,locatjumin_cd,locatjijuk_cd,locatadd_nm,locat_order,locat_rm,locathigh_cd,locallow_nm,adpt_de
1114012800,11,140,128,00,1114012800,1114012800,서울특별시 중구 남산동1가,28,,1114000000,남산동1가,
1114012900,11,140,129,00,1114012900,1114012900,서울특별시 중구 남산동2가,29,,1114000000,남산동2가,
1114013000,11,140,130,00,1114013000,1114013000,서울특별시 중구 남산동3가,30,,1114000000,남산동3가,
1114013100,11,140,131,00,1114013100,1114013100,서울특별시 중구 저동1가,31,,1114000000,저동1가,
1114013200,11,140,132,00,1114013200,1114013200,서울특별시 중구 충무로4가,32,,1114000000,충무로4가,
1114013300,11,140,133,00,1114013300,1114013300,서울특별시 중구 충무로5가,33,,1114000000,충무로5가,
1114013400,11,140,134,00,1114013400,1114013400,서울특별시 중구 인현동2가,34,,1114000000,인현동2가,
1114013500,11,140,135,00,1114013500,1114013500,서울특별시 중구 예관동,35,,1114000000,예관동,
1114013600,11,140,136,00,1114013600,1114013600,서울특별시 중구 묵정동,36,,1114000000,묵정동,
1114013700,11,140,137,00,1114013700,1114013700,서울특별시 중구 필동1가,37,,1114000000,필동1가,
1114013800,11,140,138,00,1114013800,1114013800,서울특별시 중구 필동2가,38,,1114000000,필동2가,
1114013900,11,140,139,00,1114013900,1114013900,서울특별시 중구 필동3가,39,,1114000000,필동3가,
1114014000,11,140,140,00,1114014000,1114014000,서울특별시 중구 남학동,40,,1114000000,남학동,
1114014100,11,140,141,00,1114014100,1114014100,서울특별시 중구 주자동,41,,1114000000,주자동,
1168000000,11,680,000,00,1168000000,1168000000,서울특별시 강남구,23,,1100000000,강남구,
1100000000,11,000,000,00,1100000000,1100000000,서울특별시,11,,0000000000,서울특별시,20000101
1111000000,11,110,000,00,1111000000,1111000000,서울특별시 종로구,1,,1100000000,종로구,
1111010100,11,110,101,00,1111010100,1111010100,서울특별시 종로구 청운동,1,,1111000000,청운동,
1111010200,11,110,102,00,1111010200,1111010200,서울특별시 종로구 신교동,2,,1111000000,신교동,
1111010300,11,110,103,00,1111010300,1111010300,서울특별시 종로구 궁정동,3,,1111000000,궁정동,
1111010400,11,110,104,00,1111010400,1111010400,서울특별시 종로구 효자동,4,,1111000000,효자동,
1111010500,11,110,105,00,1111010500,1111010500,서울특별시 종로구 창성동,5,,1111000000,창성동,
1111010600,11,110,106,00,1111010600,1111010600,서울특별시 종로구 통의동,6,,1111000000,통의동,
1111010700,11,110,107,00,1111010700,1111010700,서울특별시 종로구 적선동,7,,1111000000,적선동,
1111010800,11,110,108,00,1111010800,1111010800,서울특별시 종로구 통인동,8,,1111000000,통인동,20050224
1111010900,11,110,109,00,1111010900,1111010900,서울특별시 종로구 누상동,9,,1111000000,누상동,
1111011000,11,110,110,00,1111011000,1111011000,서울특별시 종로구 누하동,10,,1111000000,누하동,
1111011100,11,110,111,00,1111011100,1111011100,서울특별시 종로구 옥인동,11,,1111000000,옥인동,
1111011200,11,110,112,00,1111011200,1111011200,서울특별시 종로구 체부동,12,,1111000000,체부동,
1111011300,11,110,113,00,1111011300,1111011300,서울특별시 종로구 필운동,13,,1111000000,필운동,
1111011400,11,110,114,00,1111011400,1111011400,서울특별시 종로구 내자동,14,,1111000000,내자동,
1111011500,11,110,115,00,1111011500,1111011500,서울특별시 종로구 사직동,15,,1111000000,사직동,
1111011600,11,110,116,00,1111011600,1111011600,서울특별시 종로구 도렴동,16,,1111000000,도렴동,
1111011700,11,110,117,00,1111011700,1111011700,서울특별시 종로구 당주동,17,,1111000000,당주동,
1111011800,11,110,118,00,1111011800,1111011800,서울특별시 종로구 내수동,18,,1111000000,내수동,
1111011900,11,110,119,00,1111011900,1111011900,서울특별시 종로구 세종로,19,,1111000000,세종로,
1111012000,11,110,120,00,1111012000,1111012000,서울특별시 종로구 신문로1가,20,,1111000000,신문로1가,
1111012100,11,110,121,00,1111012100,1111012100,서울특별시 종로구 신문로2가,21,,1111000000,신문로2가,
1111012200,11,110,122,00,1111012200,1111012200,서울특별시 종로구 청진동,22,,1111000000,청진동,
1111012300,11,110,123,00,1111012300,1111012300,서울특별시 종로구 서린동,23,,1111000000,서린동,
1111012400,11,110,124,00,1111012400,1111012400,서울특별시 종로구 수송동,24,,1111000000,수송동,
1111012500,11,110,125,00,1111012500,1111012500,서울특별시 종로구 중학동,25,,1111000000,중학동,
1111012600,11,110,126,00,1111012600,1111012600,서울특별시 종로구 종로1가,26,,1111000000,종로1가,
1111012700,11,110,127,00,1111012700,1111012700,서울특별시 종로구 공평동,27,,1111000000,공평동,
1111012800,11,110,128,00,1111012800,1111012800,서울특별시 종로구 관훈동,28,,1111000000,관훈동,
1111012900,11,110,129,00,1111012900,1111012900,서울특별시 종로구 견지동,29,,1111000000,견지동,
1111013000,11,110,130,00,1111013000,1111013000,서울특별시 종로구 와룡동,30,,1111000000,와룡동,
1111013100,11,110,131,00,1111013100,1111013100,서울특별시 종로구 권농동,31,,1111000000,권농동,
1111013200,11,110,132,00,1111013200,1111013200,서울특별시 종로구 운니동,32,,1111000000,운니동,
1111013300,11,110,133,00,1111013300,1111013300,서울특별시 종로구 익선동,33,,1111000000,익선동,
1111013400,11,110,134,00,1111013400,1111013400,서울특별시 종로구 경운동,34,,1111000000,경운동,
1111013500,11,110,135,00,1111013500,1111013500,서울특별시 종로구 관철동,35,,1111000000,관철동,
1111013600,11,110,136,00,1111013600,1111013600,서울특별시 종로구 인사동,36,,1111000000,인사동,
1111013700,11,110,137,00,1111013700,1111013700,서울특별시 종로구 낙원동,37,,1111000000,낙원동,
1111013800,11,110,138,00,1111013800,1111013800,서울특별시 종로구 종로2가,38,,1111000000,종로2가,
1111013900,11,110,139,00,1111013900,1111013900,서울특별시 종로구 팔판동,39,,1111000000,팔판동,
1111014000,11,110,140,00,1111014000,1111014000,서울특별시 종로구 삼청동,40,,1111000000,삼청동,
1111014100,11,110,141,00,1111014100,1111014100,서울특별시 종로구 안국동,41,,1111000000,안국동,
1111014200,11,110,142,00,1111014200,1111014200,서울특별시 종로구 소격동,42,,1111000000,소격동,
1111014300,11,110,143,00,1111014300,1111014300,서울특별시 종로구 화동,43,,1111000000,화동,
1111014400,11,110,144,00,1111014400,1111014400,서울특별시 종로구 사간동,44,,1111000000,사간동,
1111014500,11,110,145,00,1111014500,1111014500,서울특별시 종로구 송현동,45,,1111000000,송현동,
1111014600,11,110,146,00,1111014600,1111014600,서울특별시 종로구 가회동,46,,1111000000,가회동,
1111014700,11,110,147,00,1111014700,1111014700,서울특별시 종로구 재동,47,,1111000000,재동,
1111014800,11,110,148,00,1111014800,1111014800,서울특별시 종로구 계동,48,,1111000000,계동,
1111014900,11,110,149,00,1111014900,1111014900,서울특별시 종로구 원서동,49,,1111000000,원서동,
1111015000,11,110,150,00,1111015000,1111015000,서울특별시 종로구 훈정동,50,,1111000000,훈정동,
1111015100,11,110,151,00,1111015100,1111015100,서울특별시 종로구 묘동,51,,1111000000,묘동,
1111015200,11,110,152,00,1111015200,1111015200,서울특별시 종로구 봉익동,52,,1111000000,봉익동,
1111015300,11,110,153,00,1111015300,1111015300,서울특별시 종로구 돈의동,53,,1111000000,돈의동,
1111015400,11,110,154,00,1111015400,1111015400,서울특별시 종로구 장사동,54,,1111000000,장사동,
1111015500,11,110,155,00,1111015500,1111015500,서울특별시 종로구 관수동,55,,1111000000,관수동,
1111015600,11,110,156,00,1111015600,1111015600,서울특별시 종로구 종로3가,56,,1111000000,종로3가,
1111015700,11,110,157,00,1111015700,1111015700,서울특별시 종로구 인의동,57,,1111000000,인의동,
1111015800,11,110,158,00,1111015800,1111015800,서울특별시 종로구 예지동,58,,1111000000,예지동,
1111015900,11,110,159,00,1111015900,1111015900,서울특별시 종로구 원남동,59,,1111000000,원남동,
1111016000,11,110,160,00,1111016000,1111016000,서울특별시 종로구 연지동,60,,1111000000,연지동,
1111016100,11,110,161,00,1111016100,1111016100,서울특별시 종로구 종로4가,61,,1111000000,종로4가,
1111016200,11,110,162,00,1111016200,1111016200,서울특별시 종로구 효제동,62,,1111000000,효제동,
1111016300,11,110,163,00,1111016300,1111016300,서울특별시 종로구 종로5가,63,,1111000000,종로5가,
1111016400,11,110,164,00,1111016400,1111016400,서울특별시 종로구 종로6가,64,,1111000000,종로6가,
1111016500,11,110,165,00,1111016500,1111016500,서울특별시 종로구 이화동,65,,1111000000,이화동,
1111016600,11,110,166,00,1111016600,1111016600,서울특별시 종로구 연건동,66,,1111000000,연건동,
1111016700,11,110,167,00,1111016700,1111016700,서울특별시 종로구 충신동,67,,1111000000,충신동,
1111016800,11,110,168,00,1111016800,1111016800,서울특별시 종로구 동숭동,68,,1111000000,동숭동,
1111016900,11,110,169,00,1111016900,1111016900,서울특별시 종로구 혜화동,69,,1111000000,혜화동,
