아파트명,계약일,건축년도,전용면적,거래금액,층,동,거래유형,계약해지여부,계약해지사유발생일,등기일자,권리구분,매수자,매도자,중개사소재지,시군구코드,법정동,거래구분,date_id,신규거래
프라자,2024-08-22,1985.0,133.76,"159,500",10,,중개거래,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21,기존
거여4단지,2024-08-31,1997.0,39.6,"60,000",4,,중개거래,,,,,개인,개인,서울 송파구,송파구,거여동,실거래,2024-09-21,기존
잠실올림픽공원아이파크,2024-08-24,2019.0,51.9,"140,000",3,,중개거래,,,,,개인,개인,서울 송파구,송파구,풍납동,실거래,2024-09-21,기존
파크리오,2024-08-31,2008.0,84.79,"214,000",1,,중개거래,,,,,개인,개인,서울 송파구,송파구,신천동,실거래,2024-09-21,기존
송파파인타운6단지,2024-08-31,2008.0,84.93,"132,500",11,,중개거래,,,,,개인,개인,서울 송파구,송파구,장지동,실거래,2024-09-21,기존
한강극동,2024-08-29,1995.0,114.76,"130,000",15,,중개거래,,,,,개인,개인,서울 송파구,송파구,풍납동,실거래,2024-09-21,기존
가락금호아파트,2024-08-31,1997.0,59.91,"124,000",11,,중개거래,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21,기존
문정시영,2024-08-26,1989.0,39.69,"63,000",4,,중개거래,,,,,개인,개인,서울 송파구,송파구,문정동,실거래,2024-09-21,기존
파크리오,2024-08-23,2008.0,59.95,"205,000",12,,중개거래,,,,,개인,개인,서울 송파구,송파구,신천동,실거래,2024-09-21,기존
프라자,2024-08-30,1985.0,84.67,"125,000",2,,중개거래,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21,기존
갑을,2024-08-31,1996.0,59.4,"72,500",6,,중개거래,,,,,개인,개인,서울 송파구,송파구,풍납동,실거래,2024-09-21,기존
성지,2024-08-31,1992.0,84.92,"188,000",1,,중개거래,,,,,개인,개인,서울 송파구,송파구,송파동,실거래,2024-09-21,기존
위례24단지(꿈에그린),2024-08-24,2013.0,84.96,"151,000",21,,중개거래,,,,,개인,개인,"경기 성남시 수정구, 서울 송파구",송파구,장지동,실거래,2024-09-21,기존
위례24단지(꿈에그린),2024-08-22,2013.0,51.77,"105,000",8,,중개거래,,,,,개인,개인,서울 송파구,송파구,장지동,실거래,2024-09-21,기존
파크리오,2024-08-31,2008.0,84.9,"225,000",11,,중개거래,,,,,개인,개인,서울 송파구,송파구,신천동,실거래,2024-09-21,기존
