아파트명,계약일,건축년도,전용면적,거래금액,층,동,거래유형,계약해지여부,계약해지사유발생일,등기일자,권리구분,매수자,매도자,중개사소재지,시군구코드,법정동,거래구분,date_id,신규거래
위례24단지(꿈에그린),2024-08-30,2013.0,84.93,"153,000",19,,중개거래,,,,,개인,개인,서울 송파구,송파구,장지동,실거래,2024-09-21,기존
송파파크데일2단지,2024-08-30,2011.0,84.86,"104,500",13,,중개거래,,,,,개인,개인,서울 송파구,송파구,마천동,실거래,2024-09-21,기존
쌍용스위닷홈(201동),2024-08-27,2005.0,143.82,"140,000",4,,중개거래,,,,,개인,개인,서울 송파구,송파구,오금동,실거래,2024-09-21,기존
씨티극동1,2024-08-24,1998.0,59.95,"89,500",9,,중개거래,,,,,개인,개인,서울 송파구,송파구,풍납동,실거래,2024-09-21,기존
동부센트레빌,2024-08-24,2001.0,143.02,"176,500",12,,중개거래,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21,기존
올림픽선수기자촌2단지,2024-08-23,1988.0,100.31,"247,500",5,,중개거래,,,,,개인,개인,서울 송파구,송파구,방이동,실거래,2024-09-21,기존
트리지움,2024-08-24,2007.0,59.88,"220,000",11,,중개거래,,,,,개인,개인,서울 송파구,송파구,잠실동,실거래,2024-09-21,기존
파크리오,2024-08-31,2008.0,84.9,"231,000",28,,중개거래,,,,,개인,개인,서울 송파구,송파구,신천동,실거래,2024-09-21,기존
래미안송파파인탑,2024-08-26,2012.0,87.01,"186,500",17,,중개거래,,,,,개인,개인,"경기 성남시 수정구, 서울 송파구",송파구,송파동,실거래,2024-09-21,기존
주공아파트 5단지,2024-08-27,1978.0,76.5,"274,800",4,,중개거래,,,,,개인,개인,서울 송파구,송파구,잠실동,실거래,2024-09-21,기존
송파파인타운4단지,2024-08-24,2008.0,84.95,"141,500",11,,중개거래,,,,,개인,개인,서울 송파구,송파구,장지동,실거래,2024-09-21,기존
파크리오,2024-08-24,2008.0,84.9,"229,000",34,,중개거래,,,,,개인,개인,서울 송파구,송파구,신천동,실거래,2024-09-21,기존
올림픽선수기자촌1단지,2024-08-16,1988.0,131.76,"300,000",8,,중개거래,,,,,개인,개인,서울 강동구,송파구,방이동,실거래,2024-09-21,기존
송파삼성래미안아파트,2024-08-14,2001.0,126.4,"188,000",5,,중개거래,,,,,개인,개인,서울 송파구,송파구,송파동,실거래,2024-09-21,기존
우성,2024-08-27,1986.0,43.79,"90,750",8,,중개거래,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21,기존
올림픽선수기자촌1단지,2024-08-28,1988.0,83.06,"228,000",15,,중개거래,,,,,개인,개인,서울 송파구,송파구,방이동,실거래,2024-09-21,기존
파크리오,2024-08-26,2008.0,144.77,"288,500",29,,중개거래,,,,,개인,개인,서울 송파구,송파구,신천동,실거래,2024-09-21,기존
삼환,2024-08-12,1984.0,121.04,"149,500",12,,중개거래,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21,기존
송파와이즈더샵,2024-08-15,2016.0,97.0736,"159,500",3,,중개거래,,,,,개인,개인,경기 하남시,송파구,장지동,실거래,2024-09-21,기존
송파삼성래미안아파트,2024-08-17,2001.0,79.7,"157,500",11,,중개거래,,,,,개인,개인,서울 송파구,송파구,송파동,실거래,2024-09-21,기존
올림픽훼밀리타운,2024-08-19,1988.0,158.705,"238,000",1,,중개거래,,,,,개인,개인,서울 송파구,송파구,문정동,실거래,2024-09-21,기존
우성,2024-08-31,1986.0,58.46,"118,000",9,,중개거래,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21,기존
우성,2024-08-31,1986.0,58.46,"109,500",1,,중개거래,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21,기존
파크리오,2024-08-26,2008.0,84.79,"231,500",11,,중개거래,,,,,개인,개인,서울 송파구,송파구,신천동,실거래,2024-09-21,기존
현대그린빌,2024-08-17,1998.0,59.67,"58,000",6,,중개거래,,,,,개인,개인,서울 송파구,송파구,마천동,실거래,2024-09-21,기존
씨티극동1,2024-08-17,1998.0,84.22,"109,500",9,,중개거래,,,,,개인,개인,서울 송파구,송파구,풍납동,실거래,2024-09-21,기존
상아2차아파트,2024-08-30,1988.0,60.0,"97,000",11,,중개거래,,,,,개인,개인,서울 송파구,송파구,오금동,실거래,2024-09-21,기존
거여4단지,2024-08-23,1997.0,49.8,"79,500",12,,중개거래,,,,,개인,개인,서울 송파구,송파구,거여동,실거래,2024-09-21,기존
올림픽선수기자촌1단지,2024-08-19,1988.0,100.82,"235,000",12,,중개거래,,,,,개인,개인,서울 송파구,송파구,방이동,실거래,2024-09-21,기존
래미안송파파인탑,2024-08-15,2012.0,71.73,"175,000",28,,중개거래,,,,,개인,개인,서울 송파구,송파구,송파동,실거래,2024-09-21,기존
한양3,2024-08-26,1985.0,84.92,"165,000",11,,중개거래,,,,,개인,개인,"경기 부천시 원미구, 서울 송파구",송파구,방이동,실거래,2024-09-21,기존
위례24단지(꿈에그린),2024-08-24,2013.0,84.96,"158,000",15,,중개거래,,,,,개인,개인,서울 송파구,송파구,장지동,실거래,2024-09-21,기존
대림,2024-08-31,1988.0,125.79,"169,000",6,,중개거래,,,,,개인,개인,서울 송파구,송파구,오금동,실거래,2024-09-21,기존
거여5단지,2024-08-17,1997.0,59.74,"75,500",11,,중개거래,,,,,개인,개인,서울 송파구,송파구,거여동,실거래,2024-09-21,기존
올림픽선수기자촌3단지,2024-08-22,1988.0,135.99,"297,000",7,,중개거래,,,,,개인,개인,서울 송파구,송파구,방이동,실거래,2024-09-21,기존
가락(1차)쌍용아파트,2024-08-26,1997.0,59.92,"115,000",1,,중개거래,,,,,개인,개인,"경기 하남시, 서울 송파구",송파구,가락동,실거래,2024-09-21,기존
금강KCC,2024-08-17,2003.0,84.33,"122,000",7,,중개거래,,,,,개인,개인,서울 송파구,송파구,송파동,실거래,2024-09-21,기존
거여4단지,2024-08-30,1997.0,39.6,"62,500",7,,중개거래,,,,,개인,개인,서울 송파구,송파구,거여동,실거래,2024-09-21,기존
올림픽선수기자촌2단지,2024-08-10,1988.0,163.44,"330,000",9,,중개거래,,,,,개인,개인,서울 송파구,송파구,방이동,실거래,2024-09-21,기존
우성아파트,2024-08-17,1981.0,131.08,"269,000",3,,직거래,,,,,개인,개인,,송파구,잠실동,실거래,2024-09-21,기존
가락우성2,2024-08-23,2000.0,84.95,"108,700",12,,중개거래,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21,기존
신성노바빌아파트,2024-08-24,2000.0,84.96,"120,000",11,,중개거래,,,,,개인,개인,서울 송파구,송파구,풍납동,실거래,2024-09-21,기존
레이크팰리스,2024-08-30,2006.0,84.82,"240,000",5,,중개거래,,,,,개인,개인,"서울 강동구, 서울 송파구",송파구,잠실동,실거래,2024-09-21,기존
미성,2024-08-31,1985.0,116.965,"119,250",2,,중개거래,,,,,개인,개인,서울 송파구,송파구,풍납동,실거래,2024-09-21,기존
현대(62-5),2024-08-17,1993.0,54.6,"77,000",15,,중개거래,,,,,개인,개인,서울 송파구,송파구,문정동,실거래,2024-09-21,기존
호수임광,2024-08-21,1995.0,84.75,"112,000",9,,중개거래,,,,,개인,개인,서울 송파구,송파구,송파동,실거래,2024-09-21,기존
2차한양아파트,2024-08-29,1984.0,84.92,"156,500",11,,중개거래,,,,,개인,개인,서울 송파구,송파구,송파동,실거래,2024-09-21,기존
가락쌍용(2차),2024-08-17,1999.0,59.88,"104,000",20,,중개거래,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21,기존
래미안송파파인탑,2024-08-31,2012.0,71.58,"172,000",9,,중개거래,,,,,개인,개인,서울 송파구,송파구,송파동,실거래,2024-09-21,기존
송파더센트레,2024-08-24,2013.0,59.96,"129,500",3,,중개거래,,,,,개인,개인,"서울 강남구, 서울 송파구",송파구,장지동,실거래,2024-09-21,기존
현대(2-4차),2024-08-23,1984.0,84.98,"185,000",13,,중개거래,,,,,개인,개인,서울 송파구,송파구,오금동,실거래,2024-09-21,기존
한승,2024-08-28,2006.0,243.35,"300,000",14,,중개거래,,,,,개인,개인,서울 송파구,송파구,방이동,실거래,2024-09-21,기존
문정래미안,2024-08-16,2004.0,84.96,"150,000",10,,중개거래,,,,,개인,개인,서울 송파구,송파구,문정동,실거래,2024-09-21,기존
송파파인타운1단지,2024-08-22,2010.0,84.95,"118,000",5,,중개거래,,,,,개인,개인,"서울 노원구, 서울 송파구",송파구,장지동,실거래,2024-09-21,기존
건영1,2024-08-28,1996.0,84.39,"122,000",12,,중개거래,,,,,개인,개인,서울 송파구,송파구,문정동,실거래,2024-09-21,기존
가락(1차)쌍용아파트,2024-08-25,1997.0,59.92,"115,000",2,,중개거래,,,,,개인,개인,"경기 화성시, 서울 송파구",송파구,가락동,실거래,2024-09-21,기존
가락(1차)쌍용아파트,2024-08-31,1997.0,59.92,"125,000",20,,중개거래,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21,기존
거여5단지,2024-08-31,1997.0,59.74,"79,500",4,,중개거래,,,,,개인,개인,서울 송파구,송파구,거여동,실거래,2024-09-21,기존
가락(1차)쌍용아파트,2024-08-23,1997.0,59.92,"129,500",11,,중개거래,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21,기존
올림픽선수기자촌3단지,2024-08-29,1988.0,135.99,"293,000",9,,중개거래,,,,,법인,개인,서울 송파구,송파구,방이동,실거래,2024-09-21,기존
파크리오,2024-08-15,2008.0,144.77,"297,000",12,,중개거래,,,,,개인,개인,서울 송파구,송파구,신천동,실거래,2024-09-21,기존
거여5단지,2024-08-27,1997.0,84.17,"98,000",3,,중개거래,,,,,개인,개인,서울 송파구,송파구,거여동,실거래,2024-09-21,기존
주공아파트 5단지,2024-08-07,1978.0,82.61,"302,500",6,,중개거래,,,,,개인,개인,서울 송파구,송파구,잠실동,실거래,2024-09-21,기존
송파더센트레,2024-08-17,2013.0,59.96,"115,000",2,,중개거래,,,,,개인,개인,서울 송파구,송파구,장지동,실거래,2024-09-21,기존
가락스타클래스,2024-08-31,2007.0,115.94,"133,500",15,,중개거래,,,,,개인,개인,"서울 강동구, 서울 송파구",송파구,가락동,실거래,2024-09-21,기존
레이크팰리스,2024-08-24,2006.0,116.19,"285,000",16,,중개거래,,,,,개인,개인,서울 송파구,송파구,잠실동,실거래,2024-09-21,기존
파크리오,2024-08-18,2008.0,84.79,"240,000",8,,중개거래,,,,,개인,개인,서울 송파구,송파구,신천동,실거래,2024-09-21,기존
대림,2024-08-15,1988.0,84.91,"150,000",6,,중개거래,,,,,개인,개인,서울 송파구,송파구,오금동,실거래,2024-09-21,기존
송파두산위브,2024-08-20,2019.0,59.9823,"98,000",17,,중개거래,,,,,개인,개인,서울 송파구,송파구,오금동,실거래,2024-09-21,기존
한양3,2024-08-30,1985.0,126.9,"180,000",9,,중개거래,,,,,개인,개인,"서울 성북구, 서울 송파구",송파구,방이동,실거래,2024-09-21,기존
송파시그니처롯데캐슬,2024-08-23,2021.0,59.98,"142,000",9,,중개거래,,,,,개인,개인,서울 송파구,송파구,거여동,실거래,2024-09-21,기존
송파더센트레,2024-08-20,2013.0,51.77,"100,000",6,,중개거래,,,,,개인,개인,서울 송파구,송파구,장지동,실거래,2024-09-21,기존
쌍용스윗닷홈(105동),2024-08-22,2005.0,122.43,"126,500",2,,중개거래,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21,기존
잠실올림픽공원아이파크,2024-08-23,2019.0,75.99,"185,000",15,,중개거래,,,,,개인,개인,"서울 강동구, 서울 송파구",송파구,풍납동,실거래,2024-09-21,기존
한양아파트,2024-08-14,1983.0,137.1,"185,500",10,,중개거래,,,,,개인,개인,"경기 성남시 수정구, 서울 송파구",송파구,송파동,실거래,2024-09-21,기존
송파삼성래미안아파트,2024-08-17,2001.0,79.7,"154,500",2,,중개거래,,,,,개인,개인,서울 송파구,송파구,송파동,실거래,2024-09-21,기존
송파파인타운3단지,2024-08-23,2008.0,84.93,"124,000",11,,중개거래,,,,,개인,개인,서울 송파구,송파구,장지동,실거래,2024-09-21,기존
상아2차아파트,2024-08-29,1988.0,50.72,"86,000",11,,중개거래,,,,,개인,개인,서울 송파구,송파구,오금동,실거래,2024-09-21,기존
가락(1차)쌍용아파트,2024-08-10,1997.0,59.92,"125,000",11,,중개거래,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21,기존
올림픽훼밀리타운,2024-08-16,1988.0,117.585,"215,500",7,,중개거래,,,,,개인,개인,서울 송파구,송파구,문정동,실거래,2024-09-21,기존
대림,2024-08-10,1988.0,84.91,"150,000",7,,중개거래,,,,,법인,개인,서울 송파구,송파구,오금동,실거래,2024-09-21,기존
상아2차아파트,2024-08-31,1988.0,50.72,"86,500",1,,중개거래,,,,,개인,개인,서울 송파구,송파구,오금동,실거래,2024-09-21,기존
상아2차아파트,2024-08-31,1988.0,50.72,"87,000",14,,중개거래,,,,,개인,개인,서울 송파구,송파구,오금동,실거래,2024-09-21,기존
장미2,2024-08-21,1979.0,99.0,"250,000",9,,중개거래,,,,,개인,개인,서울 송파구,송파구,신천동,실거래,2024-09-21,기존
래미안송파파인탑,2024-08-24,2012.0,71.73,"171,000",2,,중개거래,,,,,개인,개인,서울 송파구,송파구,송파동,실거래,2024-09-21,기존
문정래미안,2024-08-17,2004.0,84.96,"150,000",21,,중개거래,,,,,개인,개인,서울 송파구,송파구,문정동,실거래,2024-09-21,기존
가락3차쌍용스윗닷홈(103동),2024-08-19,2005.0,84.94,"114,500",9,,중개거래,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21,기존
헬리오시티,2024-08-27,2018.0,84.98,"227,500",26,,중개거래,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21,기존
거여1단지,2024-08-19,1997.0,49.8,"79,500",2,,중개거래,,,,,개인,개인,서울 송파구,송파구,거여동,실거래,2024-09-21,기존
대림,2024-08-29,1988.0,84.91,"148,000",12,,중개거래,,,,,개인,개인,서울 강동구,송파구,오금동,실거래,2024-09-21,기존
리센츠,2024-08-23,2008.0,59.99,"229,000",6,,중개거래,,,,,개인,개인,서울 송파구,송파구,잠실동,실거래,2024-09-21,기존
대림,2024-08-27,1988.0,84.91,"135,900",2,,중개거래,,,,,개인,개인,"서울 강동구, 서울 송파구",송파구,오금동,실거래,2024-09-21,기존
장미2,2024-08-30,1979.0,82.45,"226,000",1,,중개거래,,,,,개인,개인,서울 송파구,송파구,신천동,실거래,2024-09-21,기존
장미2,2024-08-30,1979.0,82.45,"235,000",4,,중개거래,,,,,개인,개인,서울 송파구,송파구,신천동,실거래,2024-09-21,기존
현대3차,2024-08-14,1993.0,84.94,"87,500",2,,중개거래,,,,,개인,개인,서울 송파구,송파구,거여동,실거래,2024-09-21,기존
리센츠,2024-08-30,2008.0,27.68,"103,000",20,,중개거래,,,,,개인,개인,서울 송파구,송파구,잠실동,실거래,2024-09-21,기존
현대1,2024-08-09,1995.0,83.02,"127,500",14,,중개거래,,,,,개인,개인,서울 송파구,송파구,풍납동,실거래,2024-09-21,기존
주공아파트 5단지,2024-08-30,1978.0,76.5,"283,300",15,,중개거래,,,,,개인,개인,서울 송파구,송파구,잠실동,실거래,2024-09-21,기존
씨티극동1,2024-08-24,1998.0,83.5,"107,000",3,,중개거래,,,,,개인,개인,서울 송파구,송파구,풍납동,실거래,2024-09-21,기존
장미2,2024-08-30,1979.0,99.0,"250,000",14,,중개거래,,,,,개인,개인,"서울 서초구, 서울 송파구",송파구,신천동,실거래,2024-09-21,기존
거여4단지,2024-08-23,1997.0,39.6,"64,000",7,,중개거래,,,,,개인,개인,서울 송파구,송파구,거여동,실거래,2024-09-21,기존
잠실포스코더샵,2024-08-17,2004.0,84.92,"127,000",11,,중개거래,,,,,개인,개인,서울 송파구,송파구,잠실동,실거래,2024-09-21,기존
우성,2024-08-08,1986.0,43.79,"95,000",12,,직거래,,,,,개인,개인,,송파구,가락동,실거래,2024-09-21,기존
건영1,2024-08-15,1996.0,84.39,"119,000",5,,중개거래,,,,,개인,개인,서울 송파구,송파구,문정동,실거래,2024-09-21,기존
올림픽훼밀리타운,2024-08-26,1988.0,136.325,"162,500",12,227,직거래,,,24.09.04,,개인,개인,,송파구,문정동,실거래,2024-09-21,기존
씨티극동1,2024-08-17,1998.0,59.69,"90,800",21,,중개거래,,,,,개인,개인,서울 송파구,송파구,풍납동,실거래,2024-09-21,기존
리센츠,2024-08-28,2008.0,27.68,"115,000",27,,중개거래,,,,,개인,개인,"서울 강남구, 서울 송파구",송파구,잠실동,실거래,2024-09-21,기존
송파파인타운3단지,2024-08-13,2008.0,84.93,"120,000",6,,중개거래,,,,,개인,개인,서울 송파구,송파구,장지동,실거래,2024-09-21,기존
파크리오,2024-08-16,2008.0,144.77,"299,000",24,,중개거래,,,,,개인,개인,"서울 강동구, 서울 송파구",송파구,신천동,실거래,2024-09-21,기존
e편한세상송파파크센트럴,2024-08-05,2021.0,59.94,"125,000",6,,중개거래,,,,,개인,개인,서울 송파구,송파구,거여동,실거래,2024-09-21,기존
헬리오시티,2024-08-24,2018.0,84.95,"232,000",27,,중개거래,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21,기존
파크리오,2024-08-16,2008.0,121.63,"282,000",29,,중개거래,,,,,개인,개인,서울 송파구,송파구,신천동,실거래,2024-09-21,기존
송파시그니처롯데캐슬,2024-08-21,2021.0,84.98,"85,000",23,,직거래,,,,,개인,개인,,송파구,거여동,실거래,2024-09-21,기존
잠실올림픽공원아이파크,2024-08-10,2019.0,84.99,"186,000",9,,중개거래,,,,,개인,개인,서울 송파구,송파구,풍납동,실거래,2024-09-21,기존
송파더센트레,2024-08-01,2013.0,51.77,"95,000",3,,중개거래,,,,,개인,개인,서울 송파구,송파구,장지동,실거래,2024-09-21,기존
현대(2-4차),2024-08-07,1984.0,84.98,"172,000",8,,중개거래,,,,,개인,개인,서울 송파구,송파구,오금동,실거래,2024-09-21,기존
주공아파트 5단지,2024-08-20,1978.0,76.5,"279,800",6,,중개거래,,,,,개인,개인,서울 송파구,송파구,잠실동,실거래,2024-09-21,기존
헬리오시티,2024-08-16,2018.0,99.6,"270,000",25,,중개거래,,,,,개인,개인,"서울 관악구, 서울 송파구",송파구,가락동,실거래,2024-09-21,기존
상아2차아파트,2024-08-15,1988.0,84.98,"115,000",11,,중개거래,,,,,개인,개인,서울 송파구,송파구,오금동,실거래,2024-09-21,기존
헬리오시티,2024-08-20,2018.0,84.99,"227,000",9,,중개거래,,,,,개인,개인,"경기 하남시, 서울 송파구",송파구,가락동,실거래,2024-09-21,기존
현대1,2024-08-23,1995.0,83.02,"123,500",12,,중개거래,,,,,개인,개인,서울 송파구,송파구,풍납동,실거래,2024-09-21,기존
문정대우푸르지오1차,2024-08-05,1999.0,84.86,"121,500",18,,중개거래,,,,,개인,개인,서울 송파구,송파구,문정동,실거래,2024-09-21,기존
송파파인타운3단지,2024-08-18,2008.0,84.98,"118,500",2,,중개거래,,,,,개인,개인,서울 송파구,송파구,장지동,실거래,2024-09-21,기존
레이크팰리스,2024-08-26,2006.0,59.97,"209,000",9,,중개거래,,,,,개인,개인,서울 송파구,송파구,잠실동,실거래,2024-09-21,기존
현대(2-4차),2024-08-24,1984.0,130.93,"205,000",7,,중개거래,,,,,개인,개인,서울 송파구,송파구,오금동,실거래,2024-09-21,기존
파크리오,2024-08-17,2008.0,121.63,"285,000",18,,중개거래,,,,,개인,개인,서울 송파구,송파구,신천동,실거래,2024-09-21,기존
헬리오시티,2024-08-24,2018.0,110.66,"270,000",25,,중개거래,,,,,개인,개인,"경기 성남시 수정구, 서울 송파구",송파구,가락동,실거래,2024-09-21,기존
파크리오,2024-08-22,2008.0,35.24,"98,000",17,,중개거래,,,,,개인,개인,서울 송파구,송파구,신천동,실거래,2024-09-21,기존
동광팰리스,2024-08-27,2018.0,23.88,"35,900",15,,중개거래,,,,,개인,개인,서울 송파구,송파구,방이동,실거래,2024-09-21,기존
정산파크뷰,2024-08-24,2004.0,90.07,"68,000",6,,중개거래,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21,기존
현대(2-4차),2024-08-06,1984.0,170.32,"230,000",10,,중개거래,,,,,개인,개인,서울 송파구,송파구,오금동,실거래,2024-09-21,기존
대림,2024-08-15,1988.0,125.79,"164,000",14,,중개거래,,,,,개인,개인,서울 송파구,송파구,오금동,실거래,2024-09-21,기존
SK,2024-08-15,2001.0,83.8,"113,000",11,,중개거래,,,,,개인,개인,서울 송파구,송파구,송파동,실거래,2024-09-21,기존
리센츠,2024-08-26,2008.0,84.99,"270,000",31,,중개거래,,,,,개인,개인,서울 송파구,송파구,잠실동,실거래,2024-09-21,기존
레이크팰리스,2024-08-27,2006.0,135.82,"309,000",10,,중개거래,,,,,개인,개인,서울 송파구,송파구,잠실동,실거래,2024-09-21,기존
우성4차,2024-08-15,1983.0,95.84,"175,000",11,,중개거래,,,,,개인,개인,서울 송파구,송파구,잠실동,실거래,2024-09-21,기존
송파파크데일2단지,2024-08-09,2011.0,114.91,"80,000",15,211,직거래,,,24.08.27,,개인,개인,,송파구,마천동,실거래,2024-09-21,기존
헬리오시티,2024-08-10,2018.0,59.96,"198,500",18,,중개거래,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21,기존
올림픽훼밀리타운,2024-08-15,1988.0,84.705,"165,900",13,,중개거래,,,,,개인,개인,서울 강동구,송파구,문정동,실거래,2024-09-21,기존
헬리오시티,2024-08-08,2018.0,84.98,"240,000",16,,중개거래,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21,기존
송파파인타운6단지,2024-08-19,2008.0,84.93,"125,000",3,,중개거래,,,,,개인,개인,서울 송파구,송파구,장지동,실거래,2024-09-21,기존
리센츠,2024-08-23,2008.0,27.68,"117,500",3,,중개거래,,,,,개인,개인,"서울 강남구, 서울 송파구",송파구,잠실동,실거래,2024-09-21,기존
신성노바빌아파트,2024-08-17,2000.0,84.96,"114,800",11,,중개거래,,,,,개인,개인,서울 송파구,송파구,풍납동,실거래,2024-09-21,기존
파크하비오,2024-08-10,2016.0,84.9342,"152,000",2,,중개거래,,,,,개인,개인,서울 송파구,송파구,문정동,실거래,2024-09-21,기존
가락3차쌍용스윗닷홈(103동),2024-08-24,2005.0,84.94,"110,500",3,,중개거래,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21,기존
파크리오,2024-08-24,2008.0,84.9,"234,000",22,,중개거래,,,,,개인,개인,서울 송파구,송파구,신천동,실거래,2024-09-21,기존
장미1,2024-08-23,1979.0,71.2,"204,000",14,,중개거래,,,,,개인,개인,서울 송파구,송파구,신천동,실거래,2024-09-21,기존
올림픽훼밀리타운,2024-08-08,1988.0,117.585,"214,500",6,,중개거래,,,,,개인,개인,서울 송파구,송파구,문정동,실거래,2024-09-21,기존
문정래미안,2024-08-22,2004.0,120.97,"165,000",5,,중개거래,,,,,개인,개인,서울 송파구,송파구,문정동,실거래,2024-09-21,기존
건영1,2024-08-02,1996.0,84.39,"112,900",2,,중개거래,,,,,개인,개인,"서울 노원구, 서울 송파구",송파구,문정동,실거래,2024-09-21,기존
위례24단지(꿈에그린),2024-08-10,2013.0,59.85,"128,000",16,,중개거래,,,,,개인,개인,서울 송파구,송파구,장지동,실거래,2024-09-21,기존
가락금호아파트,2024-08-12,1997.0,59.91,"115,000",3,,중개거래,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21,기존
송파파크데일1단지,2024-08-06,2011.0,84.13,"109,000",14,,중개거래,,,,,개인,개인,"경기 성남시 분당구, 서울 송파구",송파구,마천동,실거래,2024-09-21,기존
헬리오시티,2024-08-05,2018.0,84.99,"220,000",2,,중개거래,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21,기존
위례24단지(꿈에그린),2024-08-15,2013.0,51.77,"108,000",14,,중개거래,,,,,개인,개인,서울 송파구,송파구,장지동,실거래,2024-09-21,기존
올림픽훼밀리타운,2024-08-07,1988.0,136.325,"230,000",12,,중개거래,,,,,개인,개인,"서울 성동구, 서울 송파구",송파구,문정동,실거래,2024-09-21,기존
위례신도시송파푸르지오,2024-08-08,2015.0,110.1541,"190,000",10,,중개거래,,,,,개인,기타,"서울 강남구, 서울 송파구",송파구,장지동,실거래,2024-09-21,기존
문정래미안,2024-08-20,2004.0,170.7,"201,500",6,,중개거래,,,,,개인,개인,서울 송파구,송파구,문정동,실거래,2024-09-21,기존
2차한양아파트,2024-08-22,1984.0,84.92,"153,500",2,,중개거래,,,,,개인,개인,서울 송파구,송파구,송파동,실거래,2024-09-21,기존
현대(2-4차),2024-08-12,1984.0,130.93,"200,000",10,,중개거래,,,,,개인,개인,서울 송파구,송파구,오금동,실거래,2024-09-21,기존
문정대우푸르지오2차,2024-08-14,2001.0,59.57,"93,500",10,,중개거래,,,,,개인,개인,서울 송파구,송파구,문정동,실거래,2024-09-21,기존
문정시영,2024-08-12,1989.0,39.69,"64,500",13,6,중개거래,,,24.09.09,,개인,개인,서울 송파구,송파구,문정동,실거래,2024-09-21,기존
우방,2024-08-20,2001.0,59.72,"76,000",8,,중개거래,,,,,개인,개인,서울 송파구,송파구,오금동,실거래,2024-09-21,기존
