아파트명,건축년도,전용면적,거래금액,층,동,거래유형,계약년도,계약월,계약일,계약해지여부,계약해지사유발생일,등기일자,권리구분,매수자,매도자,중개사소재지,시군구코드,법정동,거래구분,date_id
길동우성,1994.0,40.36,"58,000",12,,중개거래,2024,9,2,,,,,개인,개인,서울 강동구,강동구,길동,실거래,2024-09-21
현대2,1988.0,79.79,"94,500",10,,중개거래,2024,9,5,,,,,개인,개인,서울 강동구,강동구,둔촌동,실거래,2024-09-21
강동헤리티지자이,2024.0,59.98,"133,000",17,,중개거래,2024,9,4,,,,,법인,개인,서울 강동구,강동구,길동,실거래,2024-09-21
천호동삼성아파트,1997.0,59.86,"79,500",9,,중개거래,2024,9,5,,,,,개인,개인,"서울 강동구, 서울 중랑구",강동구,천호동,실거래,2024-09-21
암사라인,1996.0,59.34,"58,900",13,,중개거래,2024,9,3,,,,,개인,개인,서울 강동구,강동구,암사동,실거래,2024-09-21
선사현대아파트,2000.0,58.68,"90,000",3,,중개거래,2024,9,7,,,,,개인,개인,서울 강동구,강동구,암사동,실거래,2024-09-21
프라자,1984.0,83.4,"91,000",1,,중개거래,2024,9,7,,,,,개인,개인,서울 강동구,강동구,둔촌동,실거래,2024-09-21
에스케이허브진,2004.0,33.71,"32,800",7,,중개거래,2024,9,7,,,,,개인,개인,서울 강동구,강동구,성내동,실거래,2024-09-21
초원동아,1997.0,59.63,"64,500",6,,중개거래,2024,9,7,,,,,개인,개인,서울 강동구,강동구,둔촌동,실거래,2024-09-21
래미안솔베뉴,2019.0,59.11,"120,000",17,,중개거래,2024,9,7,,,,,개인,개인,서울 강동구,강동구,명일동,실거래,2024-09-21
둔촌역아치스톤(101동),2010.0,84.94,"93,000",5,,중개거래,2024,9,6,,,,,개인,개인,서울 강동구,강동구,성내동,실거래,2024-09-21
힐스테이트 강동 리버뷰,2019.0,59.9958,"112,000",17,,중개거래,2024,9,6,,,,,개인,개인,서울 성동구,강동구,암사동,실거래,2024-09-21
대명사이버아파트,2001.0,84.62,"64,000",5,,중개거래,2024,9,2,,,,,개인,개인,서울 강동구,강동구,천호동,실거래,2024-09-21
고덕롯데캐슬베네루체,2019.0,59.981,"126,700",16,,중개거래,2024,9,1,,,,,개인,개인,"서울 강동구, 서울 송파구",강동구,상일동,실거래,2024-09-21
우정에쉐르(101동),2004.0,84.24,"61,000",3,,중개거래,2024,9,5,,,,,개인,개인,서울 강동구,강동구,천호동,실거래,2024-09-21
에스케이허브진,2004.0,33.71,"33,000",10,,중개거래,2024,9,4,,,,,개인,개인,서울 강동구,강동구,성내동,실거래,2024-09-21
관악드림(동아),2003.0,84.96,"93,000",9,,중개거래,2024,9,19,,,,,개인,개인,서울 관악구,관악구,봉천동,실거래,2024-09-21
코스모블루,2012.0,14.25,"12,750",9,,중개거래,2024,9,14,,,,,개인,개인,서울 관악구,관악구,봉천동,실거래,2024-09-21
보라매갑을,2003.0,55.91,"58,500",16,,중개거래,2024,9,11,,,,,개인,개인,서울 관악구,관악구,신림동,실거래,2024-09-21
서울대입구아이원(1560-61),2006.0,84.89,"93,000",13,,중개거래,2024,9,13,,,,,개인,개인,서울 송파구,관악구,봉천동,실거래,2024-09-21
현대(관악),1992.0,116.72,"98,800",8,,중개거래,2024,9,12,,,,,개인,개인,서울 관악구,관악구,봉천동,실거래,2024-09-21
서울대입구아이원(1560-61),2006.0,59.96,"80,000",13,,중개거래,2024,9,10,,,,,개인,개인,서울 관악구,관악구,봉천동,실거래,2024-09-21
현대(관악),1992.0,68.8,"69,000",1,,중개거래,2024,9,7,,,,,개인,개인,서울 관악구,관악구,봉천동,실거래,2024-09-21
벽산블루밍,2005.0,59.99,"77,400",17,,중개거래,2024,9,7,,,,,개인,개인,서울 관악구,관악구,봉천동,실거래,2024-09-21
벽산타운II,2003.0,57.36,"59,500",15,,중개거래,2024,9,7,,,,,개인,개인,"경기 파주시, 서울 관악구",관악구,봉천동,실거래,2024-09-21
동부,1993.0,60.38,"73,500",2,,중개거래,2024,9,9,,,,,개인,개인,서울 관악구,관악구,신림동,실거래,2024-09-21
관악드림(동아),2003.0,84.96,"93,900",16,,중개거래,2024,9,7,,,,,개인,개인,서울 관악구,관악구,봉천동,실거래,2024-09-21
힐스테이트뉴포레,2022.0,59.9986,"100,500",35,,중개거래,2024,9,5,,,,,개인,개인,서울 관악구,관악구,신림동,실거래,2024-09-21
관악산휴먼시아2단지,2008.0,59.96,"59,000",16,,중개거래,2024,9,4,,,,,개인,개인,서울 관악구,관악구,신림동,실거래,2024-09-21
동부,1993.0,50.57,"61,800",12,,중개거래,2024,9,2,,,,,개인,개인,서울 관악구,관악구,신림동,실거래,2024-09-21
관악산휴먼시아1단지,2008.0,84.97,"67,700",12,106,중개거래,2024,9,5,,,24.09.05,,개인,개인,서울 관악구,관악구,신림동,실거래,2024-09-21
현대(관악),1992.0,105.84,"90,000",5,,중개거래,2024,9,1,,,,,개인,개인,서울 관악구,관악구,봉천동,실거래,2024-09-21
현대(관악),1992.0,68.8,"78,000",7,,중개거래,2024,9,1,,,,,개인,개인,서울 관악구,관악구,봉천동,실거래,2024-09-21
신동아,1981.0,139.74,"350,000",7,,중개거래,2024,9,9,,,,,개인,개인,서울 서초구,서초구,방배동,실거래,2024-09-21
서초동삼성쉐르빌2,2002.0,35.22,"27,500",3,,직거래,2024,9,5,,,24.09.06,,개인,개인,,서초구,서초동,실거래,2024-09-21
쌍용예가클래식,2006.0,89.844,"175,000",4,,중개거래,2024,9,4,,,,,개인,개인,서울 서초구,서초구,방배동,실거래,2024-09-21
신대방경남,2003.0,78.19,"90,000",1,,직거래,2024,9,10,,,,,개인,개인,,동작구,신대방동,실거래,2024-09-21
청운아파트,1994.0,61.7,"29,000",1,,중개거래,2024,9,3,,,,,개인,개인,서울 동작구,동작구,상도동,실거래,2024-09-21
래미안상도3차,2004.0,114.97,"156,500",14,,중개거래,2024,9,10,,,,,개인,개인,"서울 관악구, 서울 동작구",동작구,상도동,실거래,2024-09-21
힐스테이트 상도 센트럴파크,2012.0,84.7954,"148,000",13,,중개거래,2024,9,12,,,,,개인,개인,서울 동작구,동작구,상도동,실거래,2024-09-21
e편한세상상도노빌리티,2018.0,84.9704,"165,000",6,,중개거래,2024,9,3,,,,,개인,개인,서울 동작구,동작구,상도동,실거래,2024-09-21
흑석동양아파트,2003.0,59.511,"93,500",10,,중개거래,2024,9,7,,,,,개인,개인,서울 동작구,동작구,흑석동,실거래,2024-09-21
보라매삼성쉐르빌,2003.0,120.59,"147,000",11,,중개거래,2024,9,2,,,,,개인,개인,서울 동작구,동작구,신대방동,실거래,2024-09-21
경향렉스빌,2002.0,84.5802,"83,000",3,,중개거래,2024,9,9,,,,,개인,개인,서울 동작구,동작구,상도동,실거래,2024-09-21
대방동현대,1994.0,84.96,"107,200",19,,중개거래,2024,9,9,,,,,개인,개인,서울 동작구,동작구,대방동,실거래,2024-09-21
두산위브트레지움2차,2016.0,84.9736,"148,500",12,,중개거래,2024,9,3,,,,,개인,개인,서울 동작구,동작구,상도동,실거래,2024-09-21
이수푸르지오더프레티움,2021.0,84.9633,"190,000",4,,중개거래,2024,9,8,,,,,개인,개인,서울 동작구,동작구,사당동,실거래,2024-09-21
대림아파트,1993.0,59.84,"98,000",6,,중개거래,2024,9,6,,,,,개인,개인,서울 동작구,동작구,대방동,실거래,2024-09-21
흑석한강푸르지오,2012.0,84.98,"162,000",6,,중개거래,2024,9,8,,,,,개인,개인,서울 동작구,동작구,흑석동,실거래,2024-09-21
동작상떼빌,2006.0,84.98,"91,000",19,,중개거래,2024,9,7,,,,,개인,개인,서울 동작구,동작구,신대방동,실거래,2024-09-21
대우유로카운티,2003.0,142.129,"132,750",18,,중개거래,2024,9,4,,,,,개인,개인,서울 동작구,동작구,상도동,실거래,2024-09-21
신동아5,1998.0,114.68,"120,000",12,,중개거래,2024,9,7,,,,,개인,개인,서울 동작구,동작구,사당동,실거래,2024-09-21
두산위브트레지움,2011.0,59.773,"129,000",19,,중개거래,2024,9,7,,,,,개인,개인,서울 동작구,동작구,사당동,실거래,2024-09-21
상도현대,2003.0,59.72,"66,000",14,,중개거래,2024,9,2,,,,,개인,개인,서울 관악구,동작구,상도동,실거래,2024-09-21
메가스터디타워,2015.0,16.01,"17,800",11,,중개거래,2024,9,3,,,,,개인,개인,서울 동작구,동작구,노량진동,실거래,2024-09-21
상도역롯데캐슬파크엘,2021.0,59.9818,"137,000",10,105,중개거래,2024,9,1,,,24.09.02,,개인,개인,서울 동작구,동작구,상도동,실거래,2024-09-21
래미안상도3차,2004.0,84.96,"140,000",5,,중개거래,2024,9,9,,,,,개인,개인,"경기 시흥시, 서울 동작구",동작구,상도동,실거래,2024-09-21
무지개,1980.0,53.75,"46,500",2,,중개거래,2024,9,10,,,,,개인,개인,"경기 광명시, 서울 금천구",금천구,시흥동,실거래,2024-09-21
남서울힐스테이트,2014.0,59.817,"76,500",20,,중개거래,2024,9,19,,,,,개인,개인,서울 금천구,금천구,시흥동,실거래,2024-09-21
벽산,2000.0,84.99,"40,000",14,,직거래,2024,9,19,,,,,개인,개인,,금천구,시흥동,실거래,2024-09-21
금천롯데캐슬골드파크3차,2018.0,59.9662,"85,100",22,,중개거래,2024,9,11,,,,,개인,개인,서울 금천구,금천구,독산동,실거래,2024-09-21
두산,1998.0,59.84,"60,500",9,,중개거래,2024,9,7,,,,,개인,개인,"서울 구로구, 서울 금천구",금천구,가산동,실거래,2024-09-21
두산,1998.0,134.95,"86,000",7,,중개거래,2024,9,6,,,,,개인,개인,서울 금천구,금천구,가산동,실거래,2024-09-21
시흥(817-29),1975.0,44.13,"27,000",1,,중개거래,2024,9,12,,,,,개인,개인,서울 금천구,금천구,시흥동,실거래,2024-09-21
벽산,2000.0,84.99,"41,000",17,,직거래,2024,9,11,,,,,개인,개인,,금천구,시흥동,실거래,2024-09-21
무지개,1980.0,53.75,"46,500",8,,중개거래,2024,9,7,,,,,개인,개인,서울 금천구,금천구,시흥동,실거래,2024-09-21
삼익,1999.0,59.76,"44,700",14,,중개거래,2024,9,7,,,,,개인,개인,서울 금천구,금천구,시흥동,실거래,2024-09-21
금천롯데캐슬골드파크3차,2018.0,59.9672,"92,000",42,,중개거래,2024,9,6,,,,,개인,개인,서울 금천구,금천구,독산동,실거래,2024-09-21
관악산벽산타운5,2004.0,59.34,"44,400",6,,중개거래,2024,9,6,,,,,개인,개인,서울 금천구,금천구,시흥동,실거래,2024-09-21
독산주공14단지,1990.0,44.89,"36,500",12,1403,직거래,2024,9,5,,,24.09.05,,개인,개인,,금천구,독산동,실거래,2024-09-21
금천현대,2002.0,84.83,"69,000",7,,중개거래,2024,9,2,,,,,개인,개인,서울 금천구,금천구,독산동,실거래,2024-09-21
세진(1037-31),2005.0,60.87,"38,000",3,,중개거래,2024,9,3,,,,,개인,개인,서울 금천구,금천구,독산동,실거래,2024-09-21
남서울건영2,1989.0,41.34,"29,500",2,3,중개거래,2024,9,3,,,24.09.09,,개인,개인,서울 금천구,금천구,시흥동,실거래,2024-09-21
