아파트명,계약일,건축년도,전용면적,거래금액,층,동,거래유형,계약해지여부,계약해지사유발생일,등기일자,권리구분,매수자,매도자,중개사소재지,시군구코드,법정동,거래구분,date_id,신규거래
가락(1차)쌍용아파트,2024-09-03,1997.0,84.69,"150,000",20,,중개거래,,,,,개인,개인,"경기 하남시, 서울 송파구",송파구,가락동,실거래,2024-09-21,nan
올림픽카운티,2024-09-07,2003.0,56.22,"62,300",10,,중개거래,,,,,개인,개인,서울 송파구,송파구,방이동,실거래,2024-09-21,nan
미성,2024-09-02,1985.0,116.97,"128,000",11,,중개거래,,,,,개인,개인,서울 송파구,송파구,풍납동,실거래,2024-09-21,nan
방이금호어울림,2024-09-04,2001.0,84.3,"97,000",2,,중개거래,,,,,개인,개인,서울 송파구,송파구,방이동,실거래,2024-09-21,nan
헬리오시티,2024-09-02,2018.0,84.99,"233,000",5,,중개거래,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21,nan
한강극동,2024-09-07,1995.0,59.26,"87,000",3,,중개거래,,,,,개인,개인,서울 송파구,송파구,풍납동,실거래,2024-09-21,nan
파크리오,2024-09-07,2008.0,84.79,"235,000",12,,중개거래,,,,,개인,개인,서울 송파구,송파구,신천동,실거래,2024-09-21,nan
장미1,2024-09-07,1979.0,182.01,"415,000",11,,중개거래,,,,,개인,개인,서울 송파구,송파구,신천동,실거래,2024-09-21,nan
장미1,2024-09-07,1979.0,82.45,"235,000",10,,중개거래,,,,,개인,개인,서울 송파구,송파구,신천동,실거래,2024-09-21,nan
올림픽선수기자촌2단지,2024-09-07,1988.0,83.06,"210,000",21,,중개거래,,,,,개인,개인,서울 송파구,송파구,방이동,실거래,2024-09-21,nan
리센츠,2024-09-05,2008.0,84.99,"271,500",17,,중개거래,,,,,개인,개인,서울 송파구,송파구,잠실동,실거래,2024-09-21,nan
헬리오시티,2024-09-03,2018.0,99.6,"190,000",27,,직거래,,,,,개인,개인,,송파구,가락동,실거래,2024-09-21,nan
우성,2024-09-01,1986.0,58.46,"121,000",5,,중개거래,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21,nan
잠실엘스,2024-09-06,2008.0,59.96,"228,000",17,,중개거래,,,,,개인,개인,서울 송파구,송파구,잠실동,실거래,2024-09-21,nan
장미1,2024-09-03,1979.0,71.2,"210,000",7,,중개거래,,,,,개인,개인,서울 송파구,송파구,신천동,실거래,2024-09-21,nan
롯데캐슬퍼스트,2024-09-07,2008.0,112.11,"160,000",5,,중개거래,,,,,개인,개인,서울 강동구,강동구,암사동,실거래,2024-09-21,nan
문화1,2024-09-06,1998.0,82.76,"59,000",4,,중개거래,,,,,개인,개인,서울 강동구,강동구,길동,실거래,2024-09-21,nan
현대1,2024-09-02,1996.0,59.88,"76,000",9,,중개거래,,,,,개인,개인,서울 강동구,강동구,길동,실거래,2024-09-21,nan
고덕 아이파크,2024-09-11,2011.0,84.98,"160,000",12,,중개거래,,,,,개인,개인,서울 강동구,강동구,고덕동,실거래,2024-09-21,nan
