aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate,roadNm,roadNmBonbun,roadNmBubun,roadNmCd,roadNmSeq,roadNmSggCd,roadNmbCd,sggCd,slerGbn,umdCd,umdNm,date_id
 ,현대아파트,11650-85,1346,0,1989,개인, , ,"150,000",10,8,2024,직거래, ,84.33,10,1346,1,N, ,효령로72길,14.0,0.0,4163657.0,1,11650.0,0.0,11650,개인,10800,서초동,2024-09-11
 ,강변,11650-97,53,15,1987,개인, , ,"182,500",19,8,2024,직거래, ,84.53,5,53-15,1,N, ,잠원로,166.0,17.0,3121019.0,1,11650.0,0.0,11650,법인,10600,잠원동,2024-09-11
 ,대우(효령),11650-272,1038,0,1992,개인, , ,"165,500",11,8,2024,중개거래,서울 관악구,84.91,1,1038,1,N, ,효령로,84.0,0.0,3121021.0,1,11650.0,0.0,11650,개인,10100,방배동,2024-09-11
 ,동아,11650-102,157,0,2002,개인, , ,"230,000",10,8,2024,중개거래,서울 서초구,59.8,7,157,1,N, ,신반포로33길,15.0,0.0,4163453.0,1,11650.0,0.0,11650,개인,10600,잠원동,2024-09-11
 ,래미안신반포팰리스,11650-4439,158,0,2016,개인, , ,"440,000",21,8,2024,중개거래,서울 서초구,133.01,26,158,1,N, ,잠원로8길,35.0,0.0,4163529.0,0,11650.0,0.0,11650,개인,10600,잠원동,2024-09-11
 ,대우(효령),11650-272,1038,0,1992,개인,24.09.04,O,"165,500",16,8,2024,중개거래,서울 관악구,84.91,1,1038,1,N, ,효령로,84.0,0.0,3121021.0,1,11650.0,0.0,11650,개인,10100,방배동,2024-09-11
 ,서초동삼성쉐르빌2,11650-608,1330,0,2002,개인, , ,"31,900",10,8,2024,중개거래,서울 서초구,35.22,3,1330,1,N, ,강남대로53길,11.0,0.0,4163026.0,1,11650.0,0.0,11650,개인,10800,서초동,2024-09-11
 ,한신로얄,11650-147,63,34,1992,개인, , ,"207,000",24,8,2024,중개거래,서울 서초구,81.05,2,63-34,1,N, ,신반포로33길,64.0,0.0,4163453.0,1,11650.0,0.0,11650,개인,10600,잠원동,2024-09-11
 ,현대,11650-152,53,0,1993,개인, , ,"219,000",5,8,2024,중개거래,서울 서초구,84.87,19,53,1,N, ,잠원로12길,4.0,0.0,4163525.0,1,11650.0,0.0,11650,개인,10600,잠원동,2024-09-11
 ,서초한신,11650-43,1454,29,2001,개인, , ,"145,000",30,8,2024,직거래, ,84.99,9,1454-29,1,N, ,남부순환로323길,38.0,15.0,4163071.0,0,11650.0,0.0,11650,개인,10800,서초동,2024-09-11
 ,아크로리버파크,11650-4440,2,12,2016,개인, , ,"510,000",7,8,2024,중개거래,서울 서초구,84.95,11,2-12,1,N, ,신반포로15길,19.0,0.0,4163450.0,0,11650.0,0.0,11650,개인,10700,반포동,2024-09-11
 ,쌍용예가클래식,11650-265,776,3,2006,개인, , ,"215,000",20,8,2024,중개거래,서울 서초구,155.4471,12,776-3,1,N, ,방배로37길,26.0,9.0,4163272.0,1,11650.0,0.0,11650,개인,10100,방배동,2024-09-11
 ,래미안퍼스티지,11650-3559,18,1,2009,개인, , ,"537,000",13,8,2024,중개거래,서울 서초구,117.12,14,18-1,1,N, ,반포대로,275.0,0.0,2121003.0,2,11650.0,0.0,11650,개인,10700,반포동,2024-09-11
 ,방배대성유니드아파트,11650-513,957,7,2003,개인, , ,"152,000",2,8,2024,직거래, ,124.95,7,957-7,1,N, ,도구로,73.0,0.0,3121003.0,1,11650.0,0.0,11650,개인,10100,방배동,2024-09-11
 ,서초포레스타3단지,11650-4040,568,0,2014,개인, , ,"184,000",16,8,2024,중개거래,서울 서초구,114.39,11,568,1,N, ,헌릉로8길,22.0,0.0,4163749.0,1,11650.0,0.0,11650,개인,11100,신원동,2024-09-11
 ,삼풍아파트,11650-28,1685,0,1988,개인, , ,"360,000",12,8,2024,중개거래,서울 서초구,130.73,9,1685,1,N, ,서초중앙로,200.0,0.0,3121024.0,3,11650.0,0.0,11650,개인,10800,서초동,2024-09-11
 ,신반포2,11650-117,73,0,1978,개인, , ,"480,000",28,8,2024,중개거래,서울 서초구,137.66,6,73,1,N, ,신반포로23길,41.0,0.0,4163452.0,1,11650.0,0.0,11650,개인,10600,잠원동,2024-09-11
 ,반포미도,11650-172,60,4,1987,개인, , ,"275,000",1,8,2024,중개거래,서울 서초구,84.96,12,60-4,1,N, ,서초중앙로29길,28.0,0.0,4163713.0,1,11650.0,0.0,11650,개인,10700,반포동,2024-09-11
 ,서초푸르지오써밋,11650-4550,1311,10,2017,개인, , ,"318,000",17,8,2024,중개거래,서울 서초구,97.7,9,1311-10,1,N, ,서운로,212.0,0.0,3121016.0,1,11650.0,0.0,11650,개인,10800,서초동,2024-09-11
 ,코오롱,11650-482,70,0,1994,개인, , ,"109,000",20,8,2024,중개거래,서울 서초구,52.47,2,70,1,N, ,바우뫼로,53.0,0.0,3121009.0,2,11650.0,0.0,11650,개인,10300,우면동,2024-09-11
 ,서초포레스타2단지,11650-4156,384,0,2015,개인, , ,"146,500",10,8,2024,중개거래,서울 서초구,84.48,15,384,1,N, ,헌릉로8길,45.0,0.0,4163749.0,2,11650.0,0.0,11650,개인,10900,내곡동,2024-09-11
 ,서초4현대,11650-30,1684,0,2000,개인, , ,"203,000",17,8,2024,중개거래,서울 서초구,84.95,10,1684,1,N, ,고무래로,94.0,0.0,3121001.0,2,11650.0,0.0,11650,개인,10800,서초동,2024-09-11
 ,반포자이,11650-3500,20,43,2009,개인, , ,"402,500",15,8,2024,중개거래,서울 서초구,84.998,26,20-43,1,N, ,신반포로,270.0,0.0,3121017.0,2,11650.0,0.0,11650,개인,10700,반포동,2024-09-11
 ,래미안원베일리,11650-5126,1,0,2023,개인, , ,"600,000",2,8,2024,중개거래,서울 서초구,84.98,9,1,1,N, ,반포대로,333.0,0.0,2121003.0,0,11650.0,,11650,개인,10700,반포동,2024-09-11
 ,서초포레스타5단지,11650-4026,579,0,2014,개인, , ,"127,000",6,8,2024,중개거래,서울 서초구,59.93,2,579,1,N, ,청계산로7길,43.0,0.0,4163750.0,1,11650.0,0.0,11650,개인,11100,신원동,2024-09-11
 ,래미안퍼스티지,11650-3559,18,1,2009,개인, , ,"427,500",11,8,2024,중개거래,서울 서초구,84.93,5,18-1,1,N, ,반포대로,275.0,0.0,2121003.0,2,11650.0,0.0,11650,개인,10700,반포동,2024-09-11
 ,삼호3,11650-311,757,3,1976,개인, , ,"230,000",22,8,2024,중개거래,서울 서초구,257.12,2,757-3,1,N, ,방배로43길,30.0,0.0,4163277.0,1,11650.0,0.0,11650,개인,10100,방배동,2024-09-11
 ,동원베네스트아파트,11650-88,1350,13,2002,개인, , ,"152,000",1,8,2024,중개거래,서울 서초구,84.9,3,1350-13,1,N, ,효령로74길,57.0,0.0,4163658.0,1,11650.0,0.0,11650,개인,10800,서초동,2024-09-11
 ,신반포2,11650-117,73,0,1978,개인, , ,"539,000",19,8,2024,중개거래,서울 서초구,150.58,1,73,1,N, ,신반포로23길,41.0,0.0,4163452.0,1,11650.0,0.0,11650,개인,10600,잠원동,2024-09-11
 ,서리풀e편한세상,11650-3573,906,13,2010,개인, , ,"250,000",16,8,2024,중개거래,서울 서초구,84.97,2,906-13,1,N, ,효령로33길,50.0,0.0,4163633.0,1,11650.0,0.0,11650,개인,10100,방배동,2024-09-11
 ,삼호1동~3동,11650-309,770,1,1975,개인, , ,"200,000",17,8,2024,중개거래,서울 서초구,116.13,10,770-1,1,N, ,방배로43길,21.0,0.0,4163277.0,1,11650.0,0.0,11650,개인,10100,방배동,2024-09-11
 ,서초그랑자이,11650-4969,1757,0,2021,개인, , ,"430,000",8,8,2024,중개거래,"서울 강남구, 서울 서초구",119.41,11,1757,1,N, ,효령로,391.0,0.0,3121021.0,0,11650.0,,11650,개인,10800,서초동,2024-09-11
 ,방배신삼호,11650-323,725,0,1983,개인, , ,"250,000",3,8,2024,중개거래,서울 서초구,105.04,6,725,1,N, ,방배로,270.0,0.0,3121010.0,1,11650.0,0.0,11650,개인,10100,방배동,2024-09-11
 ,유원서초,11650-62,1687,0,1993,개인, , ,"198,000",16,8,2024,중개거래,서울 서초구,84.82,12,1687,1,N, ,서초중앙로24길,43.0,0.0,4163710.0,1,11650.0,0.0,11650,개인,10800,서초동,2024-09-11
 ,삼호1동~3동,11650-309,770,1,1975,개인, , ,"157,000",17,8,2024,중개거래,서울 서초구,81.39,11,770-1,1,N, ,방배로43길,21.0,0.0,4163277.0,1,11650.0,0.0,11650,개인,10100,방배동,2024-09-11
 ,진흥아파트,11650-66,1315,0,1979,개인,24.08.27,O,"236,000",26,8,2024,중개거래,서울 서초구,101.32,8,1315,1,N, ,서초대로,385.0,0.0,2121002.0,2,11650.0,0.0,11650,개인,10800,서초동,2024-09-11
 ,반포미도2차아파트,11650-173,60,5,1989,개인, , ,"220,000",10,8,2024,중개거래,"경기 성남시 분당구, 서울 서초구",71.49,4,60-5,1,N, ,사평대로,240.0,0.0,2121001.0,2,11650.0,0.0,11650,개인,10700,반포동,2024-09-11
 ,서초네이처힐3단지,11650-3864,717,0,2013,개인, , ,"142,000",14,8,2024,직거래, ,114.79,5,717,1,N, ,태봉로2길,60.0,0.0,4163582.0,1,11650.0,0.0,11650,개인,10300,우면동,2024-09-11
 ,서초네이처힐6단지,11650-3874,737,0,2013,개인, , ,"125,000",15,8,2024,중개거래,서울 서초구,59.99,15,737,1,N, ,태봉로2길,30.0,0.0,4163582.0,1,11650.0,0.0,11650,개인,10300,우면동,2024-09-11
 ,방배아트자이,11650-4706,3278,0,2018,개인, , ,"220,000",10,8,2024,중개거래,서울 서초구,84.9152,1,3278,1,N, ,명달로9길,57.0,0.0,4163195.0,0,11650.0,0.0,11650,개인,10100,방배동,2024-09-11
 ,진흥아파트,11650-66,1315,0,1979,개인,24.08.27,O,"236,000",26,8,2024,중개거래,서울 서초구,101.32,8,1315,1,N, ,서초대로,385.0,0.0,2121002.0,2,11650.0,0.0,11650,개인,10800,서초동,2024-09-11
 ,아크로리버뷰신반포,11650-4676,159,0,2018,개인, , ,"420,000",1,8,2024,중개거래,서울 서초구,84.79,13,159,1,N, ,잠원로,117.0,0.0,3121019.0,0,11650.0,0.0,11650,개인,10600,잠원동,2024-09-11
 ,진흥아파트,11650-66,1315,0,1979,개인,24.08.26,O,"236,000",26,8,2024,중개거래,서울 서초구,101.32,8,1315,1,N, ,서초대로,385.0,0.0,2121002.0,2,11650.0,0.0,11650,개인,10800,서초동,2024-09-11
 ,반포자이,11650-3500,20,43,2009,개인, , ,"398,000",3,8,2024,중개거래,서울 서초구,84.984,23,20-43,1,N, ,신반포로,270.0,0.0,3121017.0,2,11650.0,0.0,11650,개인,10700,반포동,2024-09-11
 ,방배아트자이,11650-4706,3278,0,2018,개인, , ,"200,000",16,8,2024,중개거래,서울 서초구,59.9775,7,3278,1,N, ,명달로9길,57.0,0.0,4163195.0,0,11650.0,0.0,11650,개인,10100,방배동,2024-09-11
 ,대우(효령),11650-272,1038,0,1992,개인, , ,"180,000",13,8,2024,중개거래,서울 서초구,84.92,9,1038,1,N, ,효령로,84.0,0.0,3121021.0,1,11650.0,0.0,11650,개인,10100,방배동,2024-09-11
 ,코오롱,11650-482,70,0,1994,개인, , ,"109,800",10,8,2024,중개거래,서울 서초구,52.47,5,70,1,N, ,바우뫼로,53.0,0.0,3121009.0,2,11650.0,0.0,11650,개인,10300,우면동,2024-09-11
 ,서초포레스타2단지,11650-4156,384,0,2015,개인, , ,"144,000",21,8,2024,중개거래,서울 서초구,84.87,2,384,1,N, ,헌릉로8길,45.0,0.0,4163749.0,2,11650.0,0.0,11650,개인,10900,내곡동,2024-09-11
 ,반포두산힐스빌,11650-168,54,5,2001,개인, , ,"129,000",12,8,2024,중개거래,서울 서초구,58.7,5,54-5,1,N, ,고무래로10길,16.0,0.0,4163042.0,1,11650.0,0.0,11650,개인,10700,반포동,2024-09-11
 ,삼풍아파트,11650-28,1685,0,1988,개인, , ,"250,000",15,8,2024,중개거래,서울 서초구,79.47,2,1685,1,N, ,서초중앙로,200.0,0.0,3121024.0,3,11650.0,0.0,11650,개인,10800,서초동,2024-09-11
