aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate,roadNm,roadNmBonbun,roadNmBubun,roadNmCd,roadNmSeq,roadNmSggCd,roadNmbCd,sggCd,slerGbn,umdCd,umdNm,date_id
 ,서초동삼성쉐르빌2,11650-608,1330,0,2002,개인, , ,"27,500",5,9,2024,직거래, ,35.22,3,1330,1,N, ,강남대로53길,11,0,4163026,1,11650,0.0,11650,개인,10800,서초동,2024-09-11
 ,구로두산위브,11530-3249,1278,0,2006,개인, , ,"49,300",1,9,2024,중개거래,서울 구로구,36.88,6,1278,1,N, ,디지털로31길,85,0,4148335,1,11530,0.0,11530,개인,10200,구로동,2024-09-11
 ,현대상선,11530-38,685,147,1987,개인, , ,"57,000",3,9,2024,중개거래,서울 구로구,64.55,8,685-147,1,N, ,구일로10길,53,0,4148289,1,11530,0.0,11530,개인,10200,구로동,2024-09-11
 ,(749-29),11530-419,749,29,1996,개인, , ,"19,000",2,9,2024,중개거래,서울 구로구,44.61,1,749-29,1,N, ,구로동로20길,58,8,4148207,1,11530,0.0,11530,개인,10200,구로동,2024-09-11
 ,대우,11530-51,296,0,1999,개인, , ,"55,500",1,9,2024,중개거래,서울 구로구,59.96,8,296,1,N, ,고척로52길,53,0,4148179,0,11530,0.0,11530,개인,10600,고척동,2024-09-11
 ,오류동금호어울림,11530-3225,347,0,2006,개인, , ,"54,500",5,9,2024,중개거래,서울 구로구,59.98,6,347,1,N, ,고척로,41,0,3116003,3,11530,0.0,11530,개인,10800,오류동,2024-09-11
 ,럭키,11530-10,1257,0,1992,개인, , ,"55,000",7,9,2024,중개거래,서울 구로구,59.98,7,1257,1,N, ,도림로,107,0,3116010,1,11530,0.0,11530,개인,10200,구로동,2024-09-11
 ,천왕이펜하우스5단지,11530-3485,277,0,2011,개인, , ,"69,000",1,9,2024,중개거래,서울 구로구,84.98,11,277,1,N, ,천왕로,10,0,3116016,1,11530,0.0,11530,개인,11100,천왕동,2024-09-11
 ,개봉동상우,11530-236,487,0,2005,개인, , ,"54,000",3,9,2024,중개거래,서울 구로구,64.91,13,487,1,N, ,남부순환로97길,74,0,4148301,1,11530,0.0,11530,개인,10700,개봉동,2024-09-11
 ,뉴파인,11530-3276,236,4,2007,개인, , ,"41,200",7,9,2024,중개거래,서울 구로구,76.17,6,236-4,1,N, ,오리로21길,90,0,4148437,1,11530,0.0,11530,개인,10900,궁동,2024-09-11
 ,새솔금호,11530-15,108,2,1996,개인, , ,"45,900",7,9,2024,중개거래,서울 구로구,59.9,2,108-2,1,N, ,공원로,35,0,3116004,1,11530,0.0,11530,개인,10200,구로동,2024-09-11
 ,개봉동현대아이파크,11530-3213,489,0,2006,개인, , ,"86,000",4,9,2024,중개거래,서울 구로구,84.98,3,489,1,N, ,개봉로2길,133,15,4148053,1,11530,0.0,11530,개인,10700,개봉동,2024-09-11
 ,개봉푸르지오,11530-3798,492,0,2014,개인, , ,"84,500",4,9,2024,중개거래,서울 구로구,84.94,12,492,1,N, ,남부순환로,775,0,2000003,3,11530,0.0,11530,개인,10700,개봉동,2024-09-11
 ,신도림LG자이,11530-148,42,0,2004,개인, , ,"97,000",1,9,2024,중개거래,서울 구로구,84.952,7,42,1,N, ,새말로18길,64,0,4148369,1,11530,0.0,11530,개인,10200,구로동,2024-09-11
 ,썬앤빌,11530-3799,34,13,2014,개인, , ,"7,300",3,9,2024,중개거래,서울 구로구,14.064,14,34-13,1,N, ,경인로19가길,40,0,4148073,0,11530,,11530,개인,10800,오류동,2024-09-11
 ,서울가든,11530-56,141,1,1989,개인, , ,"50,000",4,9,2024,중개거래,서울 구로구,64.39,3,141-1,1,N, ,중앙로5길,62,0,4148467,1,11530,0.0,11530,개인,10600,고척동,2024-09-11
 ,한신휴플러스(1280-0),11530-3282,1280,0,2007,개인, , ,"59,250",2,9,2024,중개거래,서울 구로구,50.17,19,1280,1,N, ,디지털로31길,120,0,4148335,1,11530,0.0,11530,개인,10200,구로동,2024-09-11
 ,구로두산,11530-9,1265,0,1998,개인, , ,"42,000",1,9,2024,중개거래,서울 구로구,44.64,23,1265,1,N, ,도림로,59,0,3116010,1,11530,0.0,11530,개인,10200,구로동,2024-09-11
 ,현대,11530-36,74,30,1988,개인, , ,"50,000",2,9,2024,중개거래,서울 구로구,56.49,12,74-30,1,N, ,구로중앙로18길,68,0,4148251,1,11530,0.0,11530,개인,10200,구로동,2024-09-11
