aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate,roadNm,roadNmBonbun,roadNmBubun,roadNmCd,roadNmSeq,roadNmSggCd,roadNmbCd,sggCd,slerGbn,umdCd,umdNm,date_id
 ,대명사이버아파트,11740-168,49,8,2001,개인, , ,"59,000",3,9,2024,중개거래,서울 강동구,59.84,2,49-8,1,N, ,양재대로123길,31,0,4172240,1,11740,0.0,11740,개인,10900,천호동,2024-09-15
 ,고덕자이,11740-4799,521,0,2021,개인, , ,"133,800",4,9,2024,중개거래,서울 강동구,59.7084,10,521,1,N, ,상일로,55,0,3124004,1,11740,,11740,개인,10300,상일동,2024-09-15
 ,고덕아르테온,11740-4692,519,0,2020,개인, , ,"141,500",7,9,2024,중개거래,"서울 강동구, 서울 은평구",59.98,15,519,1,N, ,고덕로,360,0,3124001,1,11740,,11740,개인,10300,상일동,2024-09-15
 ,롯데캐슬퍼스트,11740-2802,414,2,2008,개인, , ,"124,700",7,9,2024,중개거래,서울 강동구,59.99,20,414-2,1,N, ,고덕로,131,0,3124001,4,11740,0.0,11740,개인,10700,암사동,2024-09-15
 ,선광,11740-128,565,0,1997,개인, , ,"65,000",6,9,2024,중개거래,"서울 강동구, 서울 서초구",59.96,3,565,1,N, ,성내로14길,18,0,4172163,1,11740,0.0,11740,개인,10800,성내동,2024-09-15
 ,둔촌푸르지오,11740-2931,630,0,2010,개인, , ,"123,500",10,9,2024,중개거래,서울 강동구,84.9,10,630,1,N, ,명일로,172,0,3124002,3,11740,0.0,11740,개인,10600,둔촌동,2024-09-15
 ,현대2,11740-80,70,5,1988,개인, , ,"94,500",5,9,2024,중개거래,서울 강동구,79.79,10,70-5,1,N, ,풍성로65길,34,0,4172435,1,11740,0.0,11740,개인,10600,둔촌동,2024-09-15
 ,강동헤리티지자이,11740-5257,160,0,2024,개인, , ,"133,000",4,9,2024,중개거래,서울 강동구,59.98,17,160,1,N, ,천중로,264,0,3124009,1,11740,0.0,11740,법인,10500,길동,2024-09-15
 ,천호동삼성아파트,11740-171,528,0,1997,개인, , ,"79,500",5,9,2024,중개거래,"서울 강동구, 서울 중랑구",59.86,9,528,1,N, ,성안로25길,15,0,4172177,1,11740,0.0,11740,개인,10900,천호동,2024-09-15
 ,암사라인,11740-96,442,0,1996,개인, , ,"58,900",3,9,2024,중개거래,서울 강동구,59.34,13,442,1,N, ,올림픽로104길,32,0,4172278,1,11740,0.0,11740,개인,10700,암사동,2024-09-15
 ,선사현대아파트,11740-91,509,0,2000,개인, , ,"90,000",7,9,2024,중개거래,서울 강동구,58.68,3,509,1,N, ,상암로,11,0,3124003,3,11740,0.0,11740,개인,10700,암사동,2024-09-15
 ,프라자,11740-57,603,0,1984,개인, , ,"91,000",7,9,2024,중개거래,서울 강동구,83.4,1,603,1,N, ,천호대로,1240,0,2000008,3,11740,0.0,11740,개인,10600,둔촌동,2024-09-15
 ,에스케이허브진,11740-347,194,0,2004,개인, , ,"32,800",7,9,2024,중개거래,서울 강동구,33.71,7,194,1,N, ,천호대로,1092,0,2000008,4,11740,0.0,11740,개인,10800,성내동,2024-09-15
 ,초원동아,11740-44,621,0,1997,개인, , ,"64,500",7,9,2024,중개거래,서울 강동구,59.63,6,621,1,N, ,동남로49길,60,5,4172090,1,11740,0.0,11740,개인,10600,둔촌동,2024-09-15
 ,래미안솔베뉴,11740-4585,359,0,2019,개인, , ,"120,000",7,9,2024,중개거래,서울 강동구,59.11,17,359,1,N, ,양재대로,1650,0,2000006,0,11740,,11740,개인,10100,명일동,2024-09-15
 ,둔촌역아치스톤(101동),11740-3001,412,0,2010,개인, , ,"93,000",6,9,2024,중개거래,서울 강동구,84.94,5,412,1,N, ,풍성로,203,0,3123024,2,11740,0.0,11740,개인,10800,성내동,2024-09-15
 ,힐스테이트 강동 리버뷰,11740-4658,675,0,2019,개인, , ,"112,000",6,9,2024,중개거래,서울 성동구,59.9958,17,675,1,N, ,올림픽로91길,30,0,4172300,0,11740,0.0,11740,개인,10700,암사동,2024-09-15
 ,대명사이버아파트,11740-168,49,8,2001,개인, , ,"64,000",2,9,2024,중개거래,서울 강동구,84.62,5,49-8,1,N, ,양재대로123길,31,0,4172240,1,11740,0.0,11740,개인,10900,천호동,2024-09-15
 ,고덕롯데캐슬베네루체,11740-4672,514,0,2019,개인, , ,"126,700",1,9,2024,중개거래,"서울 강동구, 서울 송파구",59.981,16,514,1,N, ,상암로79길,88,0,4172145,1,11740,,11740,개인,10300,상일동,2024-09-15
 ,에스케이허브진,11740-347,194,0,2004,개인, , ,"33,000",4,9,2024,중개거래,서울 강동구,33.71,10,194,1,N, ,천호대로,1092,0,2000008,4,11740,0.0,11740,개인,10800,성내동,2024-09-15
 ,현대(관악),11620-28,1000,0,1992,개인, , ,"98,800",12,9,2024,중개거래,서울 관악구,116.72,8,1000,1,N, ,관악로40길,60,0,4160021,1,11620,0.0,11620,개인,10100,봉천동,2024-09-15
 ,서울대입구아이원(1560-61),11620-4341,1560,61,2006,개인, , ,"80,000",10,9,2024,중개거래,서울 관악구,59.96,13,1560-61,1,N, ,청룡길,78,0,4160727,1,11620,0.0,11620,개인,10100,봉천동,2024-09-15
