aptNm,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,ownershipGbn,sggCd,sggNm,slerGbn,umdNm,date_id
올림픽파크 포레온,개인, , ,"277,417",29,8,2024,중개거래,서울 강동구,109.98,16,170-1,입,11740,강동구,개인,둔촌동,2024-09-17
올림픽파크 포레온,개인, , ,"316,499",17,8,2024,중개거래,서울 강동구,134.97,11,170-1,입,11740,강동구,기타,둔촌동,2024-09-17
올림픽파크 포레온,개인, , ,"294,654",9,8,2024,중개거래,서울 강동구,109.98,32,170-1,입,11740,강동구,개인,둔촌동,2024-09-17
올림픽파크 포레온,개인, , ,"242,214",19,8,2024,중개거래,"서울 강동구, 서울 송파구",84.99,13,170-1,입,11740,강동구,개인,둔촌동,2024-09-17
올림픽파크 포레온,개인, , ,"270,589",1,8,2024,중개거래,서울 강동구,95.97,25,170-1,입,11740,강동구,개인,둔촌동,2024-09-17
올림픽파크 포레온,개인, , ,"240,000",19,8,2024,중개거래,서울 강동구,84.99,15,170-1,입,11740,강동구,개인,둔촌동,2024-09-17
강동 밀레니얼 중흥S-클래스,개인, , ,"124,800",16,8,2024,중개거래,서울 강동구,84.1946,28,423-200,입,11740,강동구,개인,천호동,2024-09-17
올림픽파크 포레온,개인,24.08.23,O,"270,589",1,8,2024,중개거래,서울 강동구,95.97,25,170-1,입,11740,강동구,개인,둔촌동,2024-09-17
올림픽파크 포레온,개인, , ,"278,904",8,8,2024,중개거래,서울 강동구,109.98,27,170-1,입,11740,강동구,개인,둔촌동,2024-09-17
강동 밀레니얼 중흥S-클래스,개인, , ,"70,885",5,8,2024,중개거래,서울 강동구,47.4496,33,423-200,,11740,강동구,개인,천호동,2024-09-17
서울대벤처타운역 푸르지오,개인, , ,"100,100",8,8,2024,중개거래,서울 관악구,84.9843,10,316-62,입,11620,관악구,개인,신림동,2024-09-17
서울대벤처타운역 푸르지오,개인, , ,"99,297",14,8,2024,중개거래,서울 관악구,84.9843,2,316-62,,11620,관악구,개인,신림동,2024-09-17
서울대벤처타운역 푸르지오,개인, , ,"103,552",19,8,2024,중개거래,서울 관악구,84.9828,4,316-62,,11620,관악구,개인,신림동,2024-09-17
서울대벤처타운역 푸르지오,개인, , ,"68,316",6,8,2024,중개거래,서울 동작구,51.9836,12,316-62,,11620,관악구,개인,신림동,2024-09-17
서울대벤처타운역 푸르지오,개인, , ,"109,427",3,8,2024,중개거래,서울 관악구,84.9843,7,316-62,,11620,관악구,개인,신림동,2024-09-17
