aptNm,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,ownershipGbn,sggCd,sggNm,slerGbn,umdNm,date_id
서울대벤처타운역 푸르지오,개인, , ,"65,201",3,8,2024,중개거래,서울 관악구,51.9836,2,316-62,,11620,관악구,개인,신림동,2024-09-17
메이플자이,개인, , ,"400,000",1,8,2024,중개거래,서울 서초구,84.8456,26,60-3,입,11650,서초구,개인,잠원동,2024-09-17
파세지아타,개인, , ,"285,287",6,8,2024,직거래, ,150.918,4,1020-1,,11650,서초구,개인,방배동,2024-09-17
이수스위첸포레힐즈,개인, , ,"118,500",24,8,2024,중개거래,서울 동작구,59.91,1,102,,11590,동작구,개인,동작동,2024-09-17
상도 푸르지오 클라베뉴,개인, , ,"125,192",8,8,2024,직거래, ,84.6246,3,산65-74,,11590,동작구,법인,상도동,2024-09-17
더클래시,개인, , ,"162,500",8,8,2024,중개거래,서울 마포구,59.97,15,662,입,11440,마포구,개인,아현동,2024-09-17
공덕자이,개인, , ,"170,000",13,8,2024,중개거래,서울 마포구,84.99,1,800,입,11440,마포구,개인,아현동,2024-09-17
센트레빌 아스테리움 시그니처,개인, , ,"81,699",30,8,2024,중개거래,서울 은평구,70.6625,14,189-1,,11380,은평구,개인,역촌동,2024-09-17
센트레빌 아스테리움 시그니처,개인, , ,"68,297",27,8,2024,중개거래,서울 은평구,59.9976,14,189-1,,11380,은평구,개인,역촌동,2024-09-17
센트레빌 아스테리움 시그니처,개인, , ,"67,649",23,8,2024,중개거래,서울 은평구,59.9976,12,189-1,,11380,은평구,개인,역촌동,2024-09-17
DMC파인시티자이,개인, , ,"129,000",27,8,2024,중개거래,서울 은평구,84.94,28,115-5,입,11380,은평구,개인,수색동,2024-09-17
DMC SK VIEW 아이파크포레,개인, , ,"110,000",13,8,2024,중개거래,서울 은평구,84.95,4,341-6,입,11380,은평구,개인,수색동,2024-09-17
DMC아트포레자이,개인, , ,"120,000",3,8,2024,중개거래,서울 은평구,84.99,11,189,입,11380,은평구,개인,수색동,2024-09-17
북서울자이 폴라리스,개인, , ,"101,700",1,8,2024,중개거래,서울 강북구,84.9585,8,791-364,입,11305,강북구,개인,미아동,2024-09-17
북서울자이 폴라리스,개인,24.09.10,O,"101,700",1,8,2024,중개거래,서울 강북구,84.9585,8,791-364,입,11305,강북구,개인,미아동,2024-09-17
북서울자이 폴라리스,개인, , ,"110,200",25,8,2024,중개거래,"서울 강북구, 인천 서구",84.9625,14,791-364,입,11305,강북구,개인,미아동,2024-09-17
북서울자이 폴라리스,개인,24.08.29,O,"83,223",25,8,2024,중개거래,서울 강북구,84.9585,5,791-364,,11305,강북구,개인,미아동,2024-09-17
북서울자이 폴라리스,개인, , ,"105,008",25,8,2024,중개거래,서울 강북구,84.9585,5,791-364,,11305,강북구,개인,미아동,2024-09-17
북서울자이 폴라리스,개인,24.09.09,O,"101,700",1,8,2024,중개거래,서울 강북구,84.9585,8,791-364,입,11305,강북구,개인,미아동,2024-09-17
북서울자이 폴라리스,개인, , ,"96,700",2,8,2024,중개거래,서울 강남구,84.9625,8,791-364,,11305,강북구,개인,미아동,2024-09-17
북서울자이 폴라리스,개인, , ,"90,300",9,8,2024,중개거래,서울 강북구,84.8654,14,791-364,,11305,강북구,개인,미아동,2024-09-17
엘리프 미아역 2단지,개인, , ,"75,826",9,8,2024,직거래, ,59.856,7,195,,11305,강북구,개인,미아동,2024-09-17
북서울자이 폴라리스,개인, , ,"84,000",5,8,2024,중개거래,서울 강북구,59.8269,3,791-364,,11305,강북구,개인,미아동,2024-09-17
북서울자이 폴라리스,개인,24.08.20,O,"96,700",2,8,2024,중개거래,서울 강남구,84.9625,8,791-364,,11305,강북구,개인,미아동,2024-09-17
리버센 SK VIEW 롯데캐슬,개인, , ,"104,499",23,8,2024,중개거래,"서울 성북구, 서울 중랑구",70.98,12,331-1,,11260,중랑구,개인,중화동,2024-09-17
리버센 SK VIEW 롯데캐슬,개인,24.08.23,O,"104,499",23,8,2024,중개거래,서울 중랑구,70.98,12,331-1,,11260,중랑구,개인,중화동,2024-09-17
리버센 SK VIEW 롯데캐슬,개인, , ,"110,170",6,8,2024,중개거래,서울 중랑구,84.99,15,331-1,,11260,중랑구,개인,중화동,2024-09-17
해링턴플레이스 안암,개인, , ,"51,325",19,8,2024,중개거래,서울 종로구,75.65,6,132-17,입,11290,성북구,개인,안암동3가,2024-09-17
해링턴플레이스 안암,개인,24.08.29,O,"51,325",19,8,2024,중개거래,서울 종로구,75.62,6,132-17,입,11290,성북구,개인,안암동3가,2024-09-17
장위자이 레디언트,개인, , ,"127,766",6,8,2024,중개거래,서울 성북구,84.95,13,62-1,입,11290,성북구,개인,장위동,2024-09-17
장위자이 레디언트,개인, , ,"87,650",8,8,2024,중개거래,서울 성북구,49.82,19,62-1,입,11290,성북구,개인,장위동,2024-09-17
래미안 라그란데,개인, , ,"115,863",27,8,2024,중개거래,서울 동대문구,84.97,5,257-42,,11230,동대문구,개인,이문동,2024-09-17
래미안 라그란데,개인, , ,"126,000",31,8,2024,중개거래,서울 동대문구,84.97,2,257-42,,11230,동대문구,개인,이문동,2024-09-17
래미안 라그란데,개인, , ,"109,960",31,8,2024,중개거래,서울 성동구,84.99,3,257-42,,11230,동대문구,개인,이문동,2024-09-17
래미안 라그란데,개인, , ,"92,100",31,8,2024,중개거래,서울 동대문구,59.95,19,257-42,,11230,동대문구,개인,이문동,2024-09-17
래미안 라그란데,개인, , ,"129,000",9,8,2024,중개거래,"대전 서구, 서울 동대문구",84.97,14,257-42,입,11230,동대문구,개인,이문동,2024-09-17
이문 아이파크 자이,개인, , ,"135,000",22,8,2024,중개거래,서울 동대문구,84.95,14,149-8,입,11230,동대문구,개인,이문동,2024-09-17
래미안 라그란데,개인, , ,"88,622",26,8,2024,중개거래,서울 동대문구,59.95,3,257-42,,11230,동대문구,개인,이문동,2024-09-17
래미안 라그란데,개인, , ,"90,983",30,8,2024,중개거래,서울 동대문구,59.95,5,257-42,,11230,동대문구,개인,이문동,2024-09-17
래미안 라그란데,개인, , ,"111,634",28,8,2024,중개거래,"서울 동대문구, 서울 성동구",84.97,4,257-42,,11230,동대문구,개인,이문동,2024-09-17
래미안 라그란데,개인, , ,"99,450",30,8,2024,중개거래,서울 동대문구,74.99,11,257-42,,11230,동대문구,개인,이문동,2024-09-17
래미안 라그란데,개인, , ,"88,972",31,8,2024,중개거래,서울 동대문구,59.98,4,257-42,,11230,동대문구,개인,이문동,2024-09-17
래미안 라그란데,개인, , ,"92,100",31,8,2024,중개거래,서울 동대문구,59.95,16,257-42,,11230,동대문구,개인,이문동,2024-09-17
이문 아이파크 자이,개인, , ,"131,000",3,8,2024,중개거래,"서울 동대문구, 인천 연수구",84.95,7,149-8,입,11230,동대문구,개인,이문동,2024-09-17
청량리 롯데캐슬 하이루체,개인, , ,"103,500",17,8,2024,중개거래,서울 동대문구,84.8999,6,199,입,11230,동대문구,개인,청량리동,2024-09-17
래미안 라그란데,개인, , ,"90,000",23,8,2024,직거래, ,99.98,17,257-42,입,11230,동대문구,개인,이문동,2024-09-17
청량리 롯데캐슬 하이루체,개인, , ,"96,818",17,8,2024,중개거래,서울 동대문구,59.9314,16,199,입,11230,동대문구,개인,청량리동,2024-09-17
래미안 라그란데,개인, , ,"93,208",28,8,2024,중개거래,"서울 강동구, 서울 동대문구",59.95,20,257-42,,11230,동대문구,개인,이문동,2024-09-17
래미안 라그란데,개인, , ,"84,200",28,8,2024,중개거래,서울 동대문구,59.95,2,257-42,,11230,동대문구,개인,이문동,2024-09-17
래미안 라그란데,개인, , ,"113,310",27,8,2024,중개거래,서울 동대문구,84.97,5,257-42,,11230,동대문구,개인,이문동,2024-09-17
래미안 라그란데,개인, , ,"108,346",23,8,2024,직거래, ,84.97,3,257-42,,11230,동대문구,개인,이문동,2024-09-17
래미안 라그란데,개인, , ,"107,692",23,8,2024,중개거래,서울 동대문구,84.97,1,257-42,,11230,동대문구,개인,이문동,2024-09-17
이문 아이파크 자이,개인, , ,"126,000",17,8,2024,중개거래,서울 동대문구,84.95,22,149-8,입,11230,동대문구,개인,이문동,2024-09-17
래미안 라그란데,개인, , ,"88,000",19,8,2024,중개거래,서울 관악구,59.95,17,257-42,입,11230,동대문구,개인,이문동,2024-09-17
래미안 라그란데,개인,24.08.26,O,"58,414",9,8,2024,직거래, ,84.97,12,257-42,입,11230,동대문구,개인,이문동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"274,335",19,8,2024,중개거래,서울 광진구,138.52,12,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"136,880",31,8,2024,중개거래,서울 강동구,84.86,9,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"155,030",29,8,2024,중개거래,경기 성남시 중원구,84.73,47,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 리버파크 시그니처,개인, , ,"232,000",27,8,2024,중개거래,서울 광진구,84.9883,28,236,입,11215,광진구,법인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"141,880",26,8,2024,중개거래,경기 성남시 수정구,84.86,25,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"186,753",30,8,2024,중개거래,서울 동대문구,101.88,27,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"185,130",29,8,2024,중개거래,서울 광진구,101.88,46,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"137,880",31,8,2024,중개거래,서울 성동구,84.86,25,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인,24.09.02,O,"185,773",30,8,2024,중개거래,서울 동대문구,101.88,27,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"167,980",18,8,2024,중개거래,서울 강동구,101.88,11,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인,24.09.03,O,"136,880",26,8,2024,중개거래,경기 성남시 수정구,84.86,25,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"150,330",26,8,2024,중개거래,서울 광진구,84.86,26,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"158,000",13,8,2024,중개거래,서울 강동구,84.86,40,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"167,980",29,8,2024,중개거래,"경기 성남시 분당구, 서울 강동구",101.88,10,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인,24.08.30,O,"158,000",15,8,2024,중개거래,서울 강동구,84.86,40,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"161,170",29,8,2024,직거래, ,101.88,5,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"167,980",23,8,2024,중개거래,경기 의왕시,101.88,15,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"170,030",27,8,2024,중개거래,경기 성남시 중원구,84.86,45,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"181,980",22,8,2024,중개거래,서울 강동구,101.88,37,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"152,880",22,8,2024,중개거래,서울 강동구,84.86,29,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"181,700",19,8,2024,중개거래,"경기 의왕시, 서울 강동구",101.88,26,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"180,980",23,8,2024,중개거래,"경기 성남시 분당구, 서울 강동구",101.88,28,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"137,880",26,8,2024,중개거래,경기 성남시 중원구,84.86,19,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"165,898",23,8,2024,중개거래,서울 성동구,101.88,19,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"135,030",23,8,2024,중개거래,경기 성남시 중원구,84.86,8,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"167,130",22,8,2024,중개거래,"경기 성남시 수정구, 서울 강남구",101.88,19,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"161,592",9,8,2024,중개거래,서울 광진구,74.92,26,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"169,000",21,8,2024,중개거래,"서울 강남구, 서울 강동구",101.88,15,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"318,853",9,8,2024,중개거래,"서울 광진구, 서울 송파구",138.0,39,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"199,514",9,8,2024,중개거래,서울 광진구,101.88,8,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"237,344",15,8,2024,중개거래,서울 광진구,101.88,23,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"219,440",17,8,2024,직거래, ,138.52,13,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"146,000",12,8,2024,중개거래,"경기 의왕시, 서울 강동구",84.86,25,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"136,880",13,8,2024,중개거래,서울 광진구,84.86,16,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"162,965",12,8,2024,중개거래,서울 강동구,101.88,8,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"186,300",13,8,2024,중개거래,서울 강동구,101.88,34,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"154,000",10,8,2024,중개거래,"서울 강동구, 서울 강서구",84.86,45,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"140,500",12,8,2024,직거래, ,84.86,22,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"171,000",9,8,2024,중개거래,"서울 강동구, 충남 천안시 동남구",101.88,31,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"133,370",9,8,2024,직거래, ,84.73,17,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"133,470",9,8,2024,직거래, ,84.73,16,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"136,380",9,8,2024,중개거래,"경기 용인시기흥구, 경기 의왕시",84.86,3,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"248,540",9,8,2024,중개거래,서울 송파구,138.52,38,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"148,748",9,8,2024,직거래, ,84.86,31,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"176,130",9,8,2024,직거래, ,101.88,39,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"152,880",9,8,2024,중개거래,경기 시흥시,84.86,33,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"130,880",9,8,2024,직거래, ,84.86,7,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인,24.08.09,O,"248,540",9,8,2024,중개거래,서울 송파구,138.52,38,680-63,,11215,광진구,개인,자양동,2024-09-17
청계 SK VIEW,개인, , ,"99,190",29,8,2024,중개거래,서울 성동구,59.8788,15,121,,11200,성동구,개인,용답동,2024-09-17
청계리버뷰자이,개인, , ,"121,250",12,8,2024,중개거래,서울 성동구,59.897,31,108-1,입,11200,성동구,개인,용답동,2024-09-17
디에이치 퍼스티어 아이파크,개인, , ,"285,000",20,8,2024,중개거래,서울 강남구,84.9956,1,660-1,입,11680,강남구,개인,개포동,2024-09-17
대우디오빌,개인, , ,"21,000",23,8,2024,직거래, ,30.03,10,720-25,입,11680,강남구,개인,역삼동,2024-09-17
디에이치 퍼스티어 아이파크,개인,24.08.26,O,"285,000",20,8,2024,중개거래,서울 강남구,84.9956,1,660-1,입,11680,강남구,개인,개포동,2024-09-17
디에이치 퍼스티어 아이파크,개인, , ,"132,000",15,8,2024,중개거래,서울 강남구,34.995,16,660-1,입,11680,강남구,개인,개포동,2024-09-17
디에이치 퍼스티어 아이파크,개인, , ,"440,000",10,8,2024,중개거래,서울 강남구,112.9918,21,660-1,입,11680,강남구,개인,개포동,2024-09-17
디에이치 퍼스티어 아이파크,개인, , ,"385,000",7,8,2024,중개거래,서울 강남구,96.955,27,660-1,입,11680,강남구,개인,개포동,2024-09-17
디에이치 퍼스티어 아이파크,개인, , ,"301,500",5,8,2024,중개거래,서울 강남구,84.9914,4,660-1,입,11680,강남구,개인,개포동,2024-09-17
디에이치 퍼스티어 아이파크,개인,24.08.08,O,"301,500",5,8,2024,중개거래,서울 강남구,84.9914,4,660-1,입,11680,강남구,개인,개포동,2024-09-17
디에이치 퍼스티어 아이파크,개인, , ,"250,000",2,8,2024,중개거래,서울 강남구,59.9804,12,660-1,입,11680,강남구,개인,개포동,2024-09-17
디에이치 퍼스티어 아이파크,개인, , ,"375,000",2,8,2024,중개거래,서울 강남구,96.9555,9,660-1,입,11680,강남구,개인,개포동,2024-09-17
